,xrp,solana,tron,poly,ftm,eth,cro,bnb
,close,close,close,close,close,close,close,close
Time,,,,,,,,
2020-04-11,0.1885856605415796,0.7847113148208426,0.0125000027727847,0.0184660563137324,0.0033093381299831,158.32787794181905,0.0500240406818922,13.82675861556279
2020-04-12,0.1879341854655667,0.8759944068917709,0.0127083931073871,0.018751002125044,0.0033737332540595,158.8638257195104,0.0500617563952498,14.26511654964438
2020-04-13,0.1882723678818584,0.7867121945458646,0.0125764579384027,0.0180101926424312,0.0034137901514422,156.70135879140688,0.049767158023415,15.045572860921824
2020-04-14,0.1861088868428752,0.666673390515131,0.01241970912327,0.0189015390208227,0.0032109462311712,158.26715118298955,0.0500929496119581,15.582720804249114
2020-04-15,0.1816980136760982,0.6376210673084666,0.0121786797659133,0.0181894910888387,0.0029938956253252,153.2228636800284,0.0481735632622661,14.585948622691053
2020-04-16,0.1885658478635244,0.6923331250859114,0.0129848761285954,0.0193002676533062,0.0031401814056639,171.7759907508837,0.0504604668691977,15.666737861469231
2020-04-17,0.1889042268784884,0.657449398309544,0.0129042725782032,0.0193458652314871,0.0031569569158573,170.445890477055,0.0501632448649286,15.616281099861975
2020-04-18,0.1941055254280212,0.6769721852162044,0.0133451299154632,0.0200282714758031,0.0033004737539552,187.14354411560592,0.0517599658227692,16.552955039683997
2020-04-19,0.1898485446527694,0.6094358389483635,0.0129097078188648,0.0193970646788284,0.0032316585643783,180.05859654051866,0.0509391458759544,16.04655015576096
2020-04-20,0.1833026914121142,0.5347904942320182,0.0124151690932371,0.0179784450725056,0.0030190032823973,170.70405868653958,0.0487408411615404,15.027804337444612
2020-04-21,0.1831334613500674,0.5728269210770057,0.0125426118001826,0.0181368434797385,0.0030057772978878,170.45154288047368,0.0479637100762237,15.096507864715075
2020-04-22,0.1876895193161569,0.6848872198147996,0.0130005518850771,0.0192388232366794,0.0031246888290839,182.2767576620704,0.0501428944988975,15.68673879124662
2020-04-23,0.1901184454663675,0.6217032788666345,0.0134790709445427,0.0193210185766406,0.003150174805965,184.5937024802184,0.0520402213894357,15.970136706672749
2020-04-24,0.1923816884734369,0.6227650900853694,0.0139021452785763,0.0196294402694838,0.0033184700763628,187.3433686141964,0.0529745957514219,15.894827424185603
2020-04-25,0.1944220098157111,0.6470903181859691,0.0139923099479382,0.0200975566418658,0.003694704773776,194.11423682570447,0.054021964659582,16.237246136924366
2020-04-26,0.1969309402471324,0.6398628040694914,0.0142416041694338,0.0204659809949603,0.0041698716238164,197.22990444623989,0.0553534803876052,16.373952524617437
2020-04-27,0.1978930493879403,0.5683154806973284,0.0145056543667964,0.0200847922689264,0.0044016499129884,196.46262535084685,0.056015266771988,16.412718663883027
2020-04-28,0.2133646263583613,0.6574283212299112,0.0152344177495834,0.0202342261856937,0.0044898189133912,197.15473156634303,0.056884199721092,16.36205781128239
2020-04-29,0.2260286169332116,0.7411890135877649,0.0162789260119211,0.021806104451428,0.0048277681311112,215.54817266567383,0.0622892446018987,17.39372140310465
2020-04-30,0.2131004983533923,0.693089721323073,0.0152468013863812,0.0207932425543683,0.0045666716593704,205.55600541063677,0.0579230039393681,16.98087375117161
2020-05-01,0.2176394236720432,0.7169539321663891,0.0158122792519401,0.0222550190264518,0.0049342431837798,211.96829534904973,0.0577994216803456,17.451782873526643
2020-05-02,0.2229278108306535,0.7124378933182761,0.0163363430473772,0.0229230316621327,0.0049500886907026,213.94301121407548,0.0601963529003212,17.519661263697216
2020-05-03,0.2193996373715576,0.6866098174679662,0.016043103565153,0.0216012271692435,0.0046545961850546,210.02470947464772,0.0601449309687045,17.094938351330704
2020-05-04,0.2183355316840978,0.6728297405546847,0.0162422687833176,0.0218025627159005,0.0043733268924491,206.8325342346069,0.0606634643291989,17.01924643648172
2020-05-05,0.2166586753158617,0.6503081490988862,0.0159262492698993,0.0218269047245018,0.0044066022569848,205.22517973985205,0.0629374490229154,16.883233236755714
2020-05-06,0.2131685955206075,0.6194003582280405,0.0157402339821098,0.0214498926574422,0.0040531547118619,200.2547945000944,0.0643098369601813,16.51209313539124
