,Time,Fantom Volume
0,1586476800000,2173222.004140272
1,1586563200000,2280834.548717543
2,1586649600000,2339507.926205394
3,1586736000000,1684559.4575972836
4,1586822400000,1955904.7766010216
5,1586908800000,1698654.8289067708
6,1586995200000,1657414.6088514344
7,1587081600000,1605080.6146786457
8,1587168000000,1700188.5128239663
9,1587254400000,1203984.6205254379
10,1587340800000,1261271.149708131
11,1587427200000,1420097.0211007725
12,1587513600000,1750613.5013619007
13,1587600000000,1620845.0688528817
14,1587686400000,1372078.945188815
15,1587772800000,1728332.5602061911
16,1587859200000,1573438.0898669616
17,1587945600000,2502383.791845407
18,1588032000000,4384304.676123465
19,1588118400000,1811144.838981849
20,1588204800000,3002201.2499987227
21,1588291200000,3200699.3423995115
22,1588377600000,2119280.252369261
23,1588464000000,1846157.1156679038
24,1588550400000,1710549.9948389912
25,1588636800000,2924732.990026405
26,1588723200000,1181950.0951703896
27,1588809600000,1916561.440447027
28,1588896000000,1713361.1143006855
29,1588982400000,1539209.5787914002
30,1589068800000,1145685.8901421838
31,1589155200000,1569432.6754870212
32,1589241600000,2538290.3566790484
33,1589328000000,1367847.1377418668
34,1589414400000,3276150.3435622063
35,1589500800000,4446303.167206381
36,1589587200000,2845484.9257399086
37,1589673600000,2368780.3533450286
38,1589760000000,1816529.4889894275
39,1589846400000,2007583.668369513
40,1589932800000,1939164.2522716
41,1590019200000,2974253.0493309028
42,1590105600000,2501020.0430075154
43,1590192000000,2091892.1712557427
44,1590278400000,2581517.471930852
45,1590364800000,4787915.8211888615
46,1590451200000,3569526.64221933
47,1590537600000,3718630.183347568
48,1590624000000,4015768.356175543
49,1590710400000,2244253.652911562
50,1590796800000,1816773.3306693735
51,1590883200000,2031778.617788215
52,1590969600000,2482201.5759527427
53,1591056000000,2200171.736791973
54,1591142400000,3389744.0797453676
55,1591228800000,2934374.202337021
56,1591315200000,2724966.0131239807
57,1591401600000,2223468.653519384
58,1591488000000,1376192.8185819385
59,1591574400000,1670213.5715525458
60,1591660800000,1476598.8826511733
61,1591747200000,1528164.499342899
62,1591833600000,2458313.8982796916
63,1591920000000,3519804.427573723
64,1592006400000,2074485.8778634067
65,1592092800000,3941036.0494697113
66,1592179200000,3541889.5171995284
67,1592265600000,3088297.6775388005
68,1592352000000,2537616.7024796745
69,1592438400000,1593752.5856803542
70,1592524800000,3059482.1339921393
71,1592611200000,3573708.0556694483
72,1592697600000,2515458.8209059364
73,1592784000000,2193073.4936527666
74,1592870400000,3748724.498075721
75,1592956800000,1960546.9549286359
76,1593043200000,2800819.8912915112
77,1593129600000,1979840.2485001592
78,1593216000000,2081402.335814074
79,1593302400000,1842922.1024091092
80,1593388800000,1490491.601109225
81,1593475200000,1683153.3019810729
82,1593561600000,1537081.850099803
83,1593648000000,2108765.298480427
84,1593734400000,22159233.436718535
85,1593820800000,46514927.49940384
86,1593907200000,24093593.70637437
87,1593993600000,14286841.306649325
88,1594080000000,24515427.836240537
89,1594166400000,12438040.17302172
90,1594252800000,8969158.358583275
91,1594339200000,7474110.027222031
92,1594425600000,7213910.438650644
93,1594512000000,10633377.205673888
94,1594598400000,9820439.448796093
95,1594684800000,8045799.633571409
96,1594771200000,5215515.460089293
97,1594857600000,3107806.1650538533
98,1594944000000,4636503.274804584
99,1595030400000,14400009.924941588
100,1595116800000,10895918.66146608
101,1595203200000,6522895.827336404
102,1595289600000,29837837.705240913
103,1595376000000,31661920.05622477
104,1595462400000,10507631.915386613
105,1595548800000,8719963.352834482
106,1595635200000,5290407.387557549
107,1595721600000,8994508.86728569
108,1595808000000,8110160.803040476
109,1595894400000,12767543.73317098
110,1595980800000,6867456.111156385
111,1596067200000,4795053.848061115
112,1596153600000,8345896.200630745
113,1596240000000,6397428.475231705
