,Time,Fantom Price
0,1586476800000,0.0037932339618162595
1,1586563200000,0.0033066532959550843
2,1586649600000,0.0033093381299831837
3,1586736000000,0.0033737332540595025
4,1586822400000,0.003413790151442278
5,1586908800000,0.0032109462311712346
6,1586995200000,0.002993895625325261
7,1587081600000,0.0031401814056639973
8,1587168000000,0.003156956915857386
9,1587254400000,0.003300473753955267
10,1587340800000,0.0032316585643783666
11,1587427200000,0.0030190032823973283
12,1587513600000,0.0030057772978878614
13,1587600000000,0.00312468882908395
14,1587686400000,0.003150174805965072
15,1587772800000,0.00331847007636283
16,1587859200000,0.0036947047737760598
17,1587945600000,0.004169871623816411
18,1588032000000,0.0044016499129884866
19,1588118400000,0.0044898189133912025
20,1588204800000,0.004827768131111228
21,1588291200000,0.004566671659370406
22,1588377600000,0.004934243183779811
23,1588464000000,0.004950088690702653
24,1588550400000,0.004654596185054622
25,1588636800000,0.004373326892449186
26,1588723200000,0.004406602256984849
27,1588809600000,0.004053154711861961
28,1588896000000,0.004041698684682521
29,1588982400000,0.0042030669331372394
30,1589068800000,0.003668995233792902
31,1589155200000,0.003615035049997731
32,1589241600000,0.003985406617836523
33,1589328000000,0.003945704127750962
34,1589414400000,0.004661954375999533
35,1589500800000,0.0054859660195661014
36,1589587200000,0.005119430311308038
37,1589673600000,0.004931648981537569
38,1589760000000,0.004723714645516287
39,1589846400000,0.004633987648737367
40,1589932800000,0.004939169952740403
41,1590019200000,0.005128121537310545
42,1590105600000,0.004898890239636155
43,1590192000000,0.005283172918823203
44,1590278400000,0.005742595564163085
45,1590364800000,0.00553509673384407
46,1590451200000,0.005719032828714139
47,1590537600000,0.00584310154528109
48,1590624000000,0.005550218323769359
49,1590710400000,0.005697502792506709
50,1590796800000,0.005824229528744453
51,1590883200000,0.0061332902251396045
52,1590969600000,0.0056253742283741606
53,1591056000000,0.0056470184308852365
54,1591142400000,0.0058797214185819895
55,1591228800000,0.006342773845354145
56,1591315200000,0.006676396327086443
57,1591401600000,0.006238891704542535
58,1591488000000,0.006395221994744637
59,1591574400000,0.006268735223975046
60,1591660800000,0.0063591844720649335
61,1591747200000,0.006353263164701688
