,Time,Ethereum Volume
0,1586476800000,11971791025.372421
1,1586563200000,14135915530.589357
2,1586649600000,11128989594.360977
3,1586736000000,13002801329.50846
4,1586822400000,13286483792.048328
5,1586908800000,11468431211.774742
6,1586995200000,8578826590.313573
7,1587081600000,17430629608.3789
8,1587168000000,15220772945.895311
9,1587254400000,14284812698.801844
10,1587340800000,13763176713.456295
11,1587427200000,15901061387.704433
12,1587513600000,12178214643.078756
13,1587600000000,14853382137.991045
14,1587686400000,6903118239.477871
15,1587772800000,13419651870.125168
16,1587859200000,14452583265.899439
17,1587945600000,13530756223.951258
18,1588032000000,17659706480.60195
19,1588118400000,14644384537.090769
20,1588204800000,20966892392.04868
21,1588291200000,23630952297.4432
22,1588377600000,17137878522.355497
23,1588464000000,14287655444.044804
24,1588550400000,16158461349.767452
25,1588636800000,17901489283.101368
26,1588723200000,14345915703.711891
27,1588809600000,18128961143.16994
28,1588896000000,15142506242.294548
29,1588982400000,18337241719.88773
30,1589068800000,15514402336.324596
31,1589155200000,19756507796.247448
32,1589241600000,18768379406.38769
33,1589328000000,13706747451.019007
34,1589414400000,13403589148.76194
35,1589500800000,18153298514.018234
36,1589587200000,13130818660.241241
37,1589673600000,11676763398.063229
38,1589760000000,13449821514.26736
39,1589846400000,13342260442.297512
40,1589932800000,10220660537.90651
41,1590019200000,10429639020.80288
42,1590105600000,8110302356.370864
43,1590192000000,10636959193.321962
44,1590278400000,8524288901.148943
45,1590364800000,10782742329.00735
46,1590451200000,9317131818.625378
47,1590537600000,8593529312.403248
48,1590624000000,8773050350.183073
49,1590710400000,12329460719.291054
50,1590796800000,10335270102.499737
51,1590883200000,13546265992.193748
52,1590969600000,10887047331.601736
53,1591056000000,12532381844.259752
54,1591142400000,11228877888.97363
55,1591228800000,9023955445.45879
56,1591315200000,10063518956.568722
57,1591401600000,8222827212.494165
58,1591488000000,7581565794.828065
59,1591574400000,9398819027.550787
60,1591660800000,8129322897.065843
61,1591747200000,8592468949.874516
62,1591833600000,7584308101.602023
63,1591920000000,12109538778.82486
64,1592006400000,9191505535.416174
65,1592092800000,6588386730.111501
66,1592179200000,6517043494.317247
67,1592265600000,9539612843.334753
68,1592352000000,6857067974.879582
69,1592438400000,6079869078.290233
70,1592524800000,6063250096.3478
71,1592611200000,6840801770.229276
72,1592697600000,5400222130.457475
73,1592784000000,4995955268.45639
74,1592870400000,5973345536.2072935
75,1592956800000,6291513184.395153
76,1593043200000,8149316604.925404
77,1593129600000,6321009243.432307
78,1593216000000,6513998360.988546
79,1593302400000,6164981016.058191
80,1593388800000,5641785424.366106
81,1593475200000,5792207632.621344
82,1593561600000,5282884955.518924
83,1593648000000,5307320170.136238
84,1593734400000,4427853855.208807
85,1593820800000,4553181088.144414
86,1593907200000,4910504255.511211
87,1593993600000,5250547694.457692
88,1594080000000,7214622724.058187
89,1594166400000,6390063707.992301
90,1594252800000,6855809513.431496
91,1594339200000,5454877568.354481
92,1594425600000,4948468762.536561
93,1594512000000,4350900773.68197
94,1594598400000,5293860444.738397
95,1594684800000,5773853723.2969055
96,1594771200000,4794731175.010703
97,1594857600000,4622070139.084404
98,1594944000000,4836661397.807636
99,1595030400000,4344879745.807146
100,1595116800000,4349365185.3359585
101,1595203200000,4452847140.177009
102,1595289600000,5152984578.126705
103,1595376000000,5121955556.196016
104,1595462400000,6556501920.467992
105,1595548800000,7634745874.600546
106,1595635200000,7547527176.1284075
107,1595721600000,10358352414.143063
108,1595808000000,10227817625.90999
109,1595894400000,15060479190.224041
110,1595980800000,12462060871.173037
111,1596067200000,10343143710.27412
112,1596153600000,10534706857.54779
113,1596240000000,11638423647.390888
114,1596326400000,15379516251.5158
115,1596412800000,15202899455.056835
116,1596499200000,11174150665.410692
117,1596585600000,12113993540.45853
118,1596672000000,10578439440.459143
119,1596758400000,11175559421.02824
120,1596844800000,12469778424.949451
121,1596931200000,7446547697.815684
122,1597017600000,5940323179.041791
123,1597104000000,12717549263.402819
124,1597190400000,13124713653.81531
125,1597276800000,12808587803.77308
126,1597363200000,17422050835.673008
127,1597449600000,15546677422.815374
128,1597536000000,10265309385.857273
129,1597622400000,12680404379.026093
130,1597708800000,11697848303.8365
131,1597795200000,12062999738.137259
132,1597881600000,12854733824.945929
133,1597968000000,10564357237.821798
134,1598054400000,12518435194.162006
135,1598140800000,10612983427.483643
136,1598227200000,9775318835.217514
137,1598313600000,11007565809.594412
138,1598400000000,12857413913.19107
139,1598486400000,10454041361.377256
140,1598572800000,10466849103.532475
141,1598659200000,10196208352.394411
142,1598745600000,9631959320.390598
143,1598832000000,12945668314.960146
144,1598918400000,14228693735.746506
145,1599004800000,18804560687.28111
146,1599091200000,19315593282.634296
147,1599177600000,17364384113.17322
148,1599264000000,10260946593.268202
149,1599350400000,22254663654.420143
