,Time,Fantom Market Cap
0,1586476800000,7963132.551669471
1,1586563200000,7010468.617150837
2,1586649600000,7003353.754258023
3,1586736000000,7166471.832084037
4,1586822400000,7273139.577336789
5,1586908800000,6952162.906316634
6,1586995200000,6393184.760430079
7,1587081600000,6663559.34265931
8,1587168000000,6799327.135633769
9,1587254400000,6987999.190802434
10,1587340800000,6853934.8707385035
11,1587427200000,6400854.473023008
12,1587513600000,6373727.283252016
13,1587600000000,6622437.480897528
14,1587686400000,6604792.478498657
15,1587772800000,7043243.487747456
16,1587859200000,7815366.719838211
17,1587945600000,8844910.99817029
18,1588032000000,9378974.077590806
19,1588118400000,9472231.516475536
20,1588204800000,10348193.840668581
21,1588291200000,9639777.88567182
22,1588377600000,10494222.129143897
23,1588464000000,10452669.91773098
24,1588550400000,9867842.232032757
25,1588636800000,9265952.02140095
26,1588723200000,9319127.201155486
27,1588809600000,8699281.26962548
28,1588896000000,8546901.725807551
29,1588982400000,8954194.45969951
30,1589068800000,8075922.359484147
31,1589155200000,7619278.03016169
32,1589241600000,8429007.227066305
33,1589328000000,8295364.724520062
34,1589414400000,10024621.530141335
35,1589500800000,11700897.043149319
36,1589587200000,11008327.766842969
37,1589673600000,10201095.063716209
38,1589760000000,9881074.607601665
39,1589846400000,9846859.669851575
40,1589932800000,10326948.075317975
41,1590019200000,11020645.339214653
42,1590105600000,10265507.626614535
43,1590192000000,11184273.335299574
44,1590278400000,12211702.699072756
45,1590364800000,11751163.128635373
46,1590451200000,12184600.321043093
47,1590537600000,12493541.118030664
48,1590624000000,11667964.39843476
49,1590710400000,11811499.178638896
50,1590796800000,12373567.482927596
51,1590883200000,12533789.71361486
52,1590969600000,12005273.48002044
53,1591056000000,12063257.341041498
54,1591142400000,12667689.147486074
55,1591228800000,13526490.629097262
56,1591315200000,14028021.906234983
57,1591401600000,13559962.602964615
58,1591488000000,13642254.80233313
59,1591574400000,13358221.990904924
60,1591660800000,13356445.977992773
61,1591747200000,13555332.052238526
62,1591833600000,13942132.456412558
63,1591920000000,12935662.743732017
64,1592006400000,13072045.488034725
65,1592092800000,14291641.658540891
66,1592179200000,14078408.787386993
67,1592265600000,13913240.427415203
68,1592352000000,14571968.338235624
69,1592438400000,14369052.201755943
70,1592524800000,15515690.445275439
71,1592611200000,16122407.255648162
72,1592697600000,15995966.671313839
73,1592784000000,15600433.528885415
74,1592870400000,16823865.969230715
75,1592956800000,16829550.682343405
76,1593043200000,15582766.796125274
77,1593129600000,15898140.531021053
78,1593216000000,15294906.010200778
79,1593302400000,13668926.688659612
80,1593388800000,14375676.124830384
81,1593475200000,14174943.689216323
82,1593561600000,14517004.873956282
83,1593648000000,14226827.412393697
84,1593734400000,21027267.710076675
85,1593820800000,30780223.614609312
86,1593907200000,27241411.611213554
87,1593993600000,26576550.6695798
88,1594080000000,29382242.36509153
89,1594166400000,28963718.727948267
90,1594252800000,27444995.39518564
91,1594339200000,26727897.66716346
92,1594425600000,24769852.630894713
93,1594512000000,27357557.226016756
94,1594598400000,28527147.670990594
95,1594684800000,26264022.206005223
96,1594771200000,26029762.321056176
97,1594857600000,25780808.1104874
98,1594944000000,24428201.961181115
99,1595030400000,29111594.536342524
100,1595116800000,29023383.875593495
101,1595203200000,29997516.864521384
102,1595289600000,39690260.05476574
103,1595376000000,36965252.79380783
104,1595462400000,36667842.713119216
105,1595548800000,35148742.20125014
106,1595635200000,35257297.26569392
107,1595721600000,33898892.26847498
108,1595808000000,35344023.81738151
109,1595894400000,30155082.176049583
110,1595980800000,31334573.996689457
111,1596067200000,30749392.764027216
112,1596153600000,33613012.63499152
113,1596240000000,32207505.521197837
114,1596326400000,31310102.079838037
115,1596412800000,31507146.362868745
116,1596499200000,32390001.055524386
117,1596585600000,33352334.7336082
118,1596672000000,38753879.11068205
119,1596758400000,39145165.67113438
120,1596844800000,40251767.58707257
121,1596931200000,42520271.249539986
122,1597017600000,44149288.43677407
123,1597104000000,44747176.136788905
124,1597190400000,39654896.47730344
125,1597276800000,45757041.10821237
126,1597363200000,47215408.69498577
127,1597449600000,48810696.98328946
128,1597536000000,67950067.41303721
129,1597622400000,63896938.35961044
130,1597708800000,65070553.500129744
131,1597795200000,73381623.5885548
132,1597881600000,72714343.53895004
133,1597968000000,87666593.24617924
134,1598054400000,70123759.74511689
135,1598140800000,79133441.47510818
136,1598227200000,83304422.38384926
137,1598313600000,78373901.93186484
138,1598400000000,72806270.29414722
139,1598486400000,71147239.30272998
140,1598572800000,65087581.45304041
141,1598659200000,68387451.63237621
142,1598745600000,65592615.488649204
143,1598832000000,85669911.63468204
144,1598918400000,98901098.32483104
