,Time,PolyMath Price
0,1586476800000,0.020418824825723957
1,1586563200000,0.018714615204245208
2,1586649600000,0.01846605631373244
3,1586736000000,0.018751002125044013
4,1586822400000,0.018010192642431273
5,1586908800000,0.01890153902082275
6,1586995200000,0.018189491088838758
7,1587081600000,0.0193002676533062
8,1587168000000,0.019345865231487177
9,1587254400000,0.020028271475803185
10,1587340800000,0.019397064678828423
11,1587427200000,0.017978445072505664
12,1587513600000,0.018136843479738526
13,1587600000000,0.01923882323667946
14,1587686400000,0.01932101857664069
15,1587772800000,0.019629440269483812
16,1587859200000,0.020097556641865872
17,1587945600000,0.020465980994960345
18,1588032000000,0.020084792268926482
19,1588118400000,0.020234226185693788
20,1588204800000,0.021806104451428002
21,1588291200000,0.020793242554368378
22,1588377600000,0.022255019026451883
23,1588464000000,0.022923031662132796
24,1588550400000,0.021601227169243536
25,1588636800000,0.021802562715900527
26,1588723200000,0.021826904724501897
27,1588809600000,0.021449892657442217
28,1588896000000,0.024659042821677732
29,1588982400000,0.024424102623933575
30,1589068800000,0.02330864271629377
31,1589155200000,0.02221906189912229
32,1589241600000,0.021283430809328
33,1589328000000,0.023254286777366864
34,1589414400000,0.024373449782638817
35,1589500800000,0.02489594504255811
36,1589587200000,0.02410844332115458
37,1589673600000,0.02511235257286302
38,1589760000000,0.026039270665833357
39,1589846400000,0.02680114569075069
40,1589932800000,0.0294619596084664
41,1590019200000,0.03135516721715605
42,1590105600000,0.028898409106154547
43,1590192000000,0.029436376338189272
44,1590278400000,0.03026382624356657
45,1590364800000,0.0337274881391528
46,1590451200000,0.03472661917695934
47,1590537600000,0.03381842200599829
48,1590624000000,0.03308391330340015
49,1590710400000,0.035785485220025885
50,1590796800000,0.035779932551322176
51,1590883200000,0.03803328677677369
52,1590969600000,0.04188718276110297
53,1591056000000,0.045870670939480024
54,1591142400000,0.04467330325197694
55,1591228800000,0.04542284844373996
56,1591315200000,0.04545711430099255
57,1591401600000,0.04526335174714735
58,1591488000000,0.04660993963396116
59,1591574400000,0.049672608764943976
60,1591660800000,0.05071014909143016
61,1591747200000,0.05040536826924313
62,1591833600000,0.04789174745655963
63,1591920000000,0.039144498532972416
64,1592006400000,0.0480583979630769
65,1592092800000,0.05192392690415256
66,1592179200000,0.0474914662050727
67,1592265600000,0.049513434431572294
68,1592352000000,0.05108565820399567
69,1592438400000,0.05098352329889539
70,1592524800000,0.053603618985682326
71,1592611200000,0.0513796332198204
72,1592697600000,0.05372027328338666
73,1592784000000,0.05533943381220136
74,1592870400000,0.0517752645354149
75,1592956800000,0.04919919625397958
76,1593043200000,0.04672127712600846
77,1593129600000,0.04590194640940895
78,1593216000000,0.042275639618493725
79,1593302400000,0.03864507552140812
80,1593388800000,0.0406332924431335
81,1593475200000,0.040694333482601874
82,1593561600000,0.03926063554501794
83,1593648000000,0.03869035908861524
84,1593734400000,0.03775751564754971
85,1593820800000,0.03892205273372613
86,1593907200000,0.03971200418073345
87,1593993600000,0.0417682253877927
88,1594080000000,0.04126040913658341
89,1594166400000,0.04088121399084706
90,1594252800000,0.04190124291360325
91,1594339200000,0.041681361214482765
92,1594425600000,0.0439811413075549
93,1594512000000,0.04543829846531881
94,1594598400000,0.04408456083195338
95,1594684800000,0.044122852114059
96,1594771200000,0.043165537314194806
97,1594857600000,0.04206640963596774
98,1594944000000,0.04022279503400362
99,1595030400000,0.04073324214147699
100,1595116800000,0.04056844385815819
101,1595203200000,0.040927851561574406
102,1595289600000,0.04168004480019278
103,1595376000000,0.04180444819633391
104,1595462400000,0.0423981881659218
105,1595548800000,0.041768218194268236
106,1595635200000,0.041024215424608046
107,1595721600000,0.041610886276231294
108,1595808000000,0.03945042489792094
109,1595894400000,0.03669615596772485
110,1595980800000,0.03736643995657813
111,1596067200000,0.0401883335416581
112,1596153600000,0.03951616231944128
113,1596240000000,0.03915002909825995
114,1596326400000,0.0398976631191485
115,1596412800000,0.03756651424127386
116,1596499200000,0.0387554090860282
117,1596585600000,0.04005513950146792
118,1596672000000,0.03998761667352388
119,1596758400000,0.041227965236484324
120,1596844800000,0.040742712133370676
121,1596931200000,0.04308680968655071
122,1597017600000,0.04659071284777444
123,1597104000000,0.04689638703499177
124,1597190400000,0.04438535967595173
125,1597276800000,0.0489632235923977
126,1597363200000,0.04740802866559655
127,1597449600000,0.0487463700942162
128,1597536000000,0.04806059256117244
129,1597622400000,0.05341541907747887
130,1597708800000,0.05560309167251359
131,1597795200000,0.060673406744591214
132,1597881600000,0.05607226156033767
133,1597968000000,0.05729744350655378
134,1598054400000,0.05258735572379379
135,1598140800000,0.05564263100466162
136,1598227200000,0.058999987112573656
137,1598313600000,0.0618381018010994
138,1598400000000,0.05526070802897136
139,1598486400000,0.05854965328334682
140,1598572800000,0.05477013408569416
141,1598659200000,0.05806777921732735
142,1598745600000,0.0626819328289041
143,1598832000000,0.062338688169710804
144,1598918400000,0.059143922517286965
145,1599004800000,0.05719281591126951
146,1599091200000,0.05543087105867457
147,1599177600000,0.04327129018286328
148,1599264000000,0.04770652527087581
149,1599350400000,0.042243428250829974
150,1599436800000,0.04523363426998666
151,1599523200000,0.0421868547344007
152,1599609600000,0.040923036594922475
153,1599696000000,0.04371241903712271
154,1599782400000,0.04655734803840342
155,1599868800000,0.048367333775263484
156,1599955200000,0.050065566686995126
157,1600041600000,0.04641301633271662
158,1600128000000,0.04649490259142841
159,1600214400000,0.04435436960676094
160,1600300800000,0.04160277403325775
161,1600387200000,0.042743620367760145
162,1600473600000,0.04328579301983296
163,1600560000000,0.0442269375914294
