,Time,Tron Market Cap
0,1586476800000,889856771.3525898
1,1586563200000,822081286.1544182
2,1586649600000,825728835.0838466
3,1586736000000,848837504.1180795
4,1586822400000,837750467.1959045
5,1586908800000,824065705.0953989
6,1586995200000,808623819.9192725
7,1587081600000,859658502.2318186
8,1587168000000,856276371.7335639
9,1587254400000,883011411.98262
10,1587340800000,855994395.7789804
11,1587427200000,823620407.8948112
12,1587513600000,826981631.3481405
13,1587600000000,858838220.4539024
14,1587686400000,892018386.7244908
15,1587772800000,918326861.2666912
16,1587859200000,926046994.641618
17,1587945600000,940174410.0502045
18,1588032000000,957743960.7222869
19,1588118400000,1007638566.198653
20,1588204800000,1073395454.1298007
21,1588291200000,1013846525.0812234
22,1588377600000,1049259998.7714851
23,1588464000000,1077850052.6111724
24,1588550400000,1059914790.8599868
25,1588636800000,1071939953.2007638
26,1588723200000,1047376790.0536395
27,1588809600000,1050287106.4177294
28,1588896000000,1066276042.8150073
29,1588982400000,1070447627.5554814
30,1589068800000,1065527852.3057888
31,1589155200000,948220383.9462348
32,1589241600000,925441025.732158
33,1589328000000,958257359.1781336
34,1589414400000,995332187.5232056
35,1589500800000,1014636103.6810943
36,1589587200000,980202540.4482952
37,1589673600000,986965544.8498217
38,1589760000000,994292118.3105286
39,1589846400000,1008683480.04088
40,1589932800000,1027154849.5566802
41,1590019200000,996300568.611853
42,1590105600000,938533422.3878844
43,1590192000000,995152403.9054607
44,1590278400000,988704317.5037338
45,1590364800000,951110940.0685819
46,1590451200000,973956862.3665104
47,1590537600000,962006916.7195667
48,1590624000000,974999377.5882946
49,1590710400000,1004724739.9202867
50,1590796800000,990228142.0402292
51,1590883200000,1074220048.5416143
52,1590969600000,1041716730.5449721
53,1591056000000,1117455045.1096916
54,1591142400000,1074344440.6620414
55,1591228800000,1111946591.3388655
56,1591315200000,1128960172.8486364
57,1591401600000,1122349677.9578178
58,1591488000000,1130090535.44119
59,1591574400000,1197202933.3307078
60,1591660800000,1189569247.9466748
61,1591747200000,1162187965.166538
62,1591833600000,1163620455.9315288
63,1591920000000,1043014362.8609346
64,1592006400000,1083748326.6740716
65,1592092800000,1102425876.4499145
66,1592179200000,1074747005.736212
67,1592265600000,1070507414.6080904
68,1592352000000,1071320476.7602578
69,1592438400000,1073284085.5271885
70,1592524800000,1063485115.8667305
71,1592611200000,1050050313.6324817
72,1592697600000,1057506213.4057406
73,1592784000000,1045280274.0861152
74,1592870400000,1086470724.2428408
75,1592956800000,1090897952.7851236
76,1593043200000,1055823301.7924414
77,1593129600000,1053493048.9567636
78,1593216000000,1050254085.7325503
79,1593302400000,1026822672.093845
80,1593388800000,1043719151.1822392
81,1593475200000,1072154515.8092339
82,1593561600000,1083872402.5041642
83,1593648000000,1116254777.768723
84,1593734400000,1098345872.0918365
85,1593820800000,1100673952.9704404
86,1593907200000,1109113237.5788987
87,1593993600000,1108472968.2275531
88,1594080000000,1191366500.4910548
89,1594166400000,1133113866.6098852
90,1594252800000,1186791320.6929207
91,1594339200000,1219479832.16702
92,1594425600000,1200410234.0634053
93,1594512000000,1216489143.5825179
94,1594598400000,1198493164.3028355
95,1594684800000,1158863921.916048
96,1594771200000,1166184290.5962565
97,1594857600000,1162230495.6348948
98,1594944000000,1136043096.5131955
99,1595030400000,1135931155.2853565
100,1595116800000,1153594024.7081099
101,1595203200000,1160720849.5434887
102,1595289600000,1137189741.0033946
103,1595376000000,1166039245.9844728
104,1595462400000,1187513997.1568108
105,1595548800000,1181872818.7865438
106,1595635200000,1189804641.9531207
107,1595721600000,1237888425.8163102
108,1595808000000,1226576774.728515
109,1595894400000,1234193882.534184
110,1595980800000,1263497875.1456642
111,1596067200000,1275237978.746614
112,1596153600000,1280196561.25552
113,1596240000000,1300902580.3904903
114,1596326400000,1359946661.9891994
115,1596412800000,1257390414.570865
116,1596499200000,1311257725.3627965
117,1596585600000,1345452538.011023
118,1596672000000,1347041137.6457796
119,1596758400000,1344914188.8051512
120,1596844800000,1312532913.431703
121,1596931200000,1346716202.881445
