,Time,Binance Market Cap
0,1586476800000,2271676119.4907784
1,1586563200000,2073910713.8429258
2,1586649600000,2087481774.1363175
3,1586736000000,2178116505.78815
4,1586822400000,2272857627.6622605
5,1586908800000,2357467179.205417
6,1586995200000,2207839720.3607697
7,1587081600000,2369647148.5940456
8,1587168000000,2370773171.7872663
9,1587254400000,2448080536.0223794
10,1587340800000,2377982679.590395
11,1587427200000,2228118491.7570333
12,1587513600000,2232531184.047116
13,1587600000000,2319816863.694298
14,1587686400000,2353229636.8727207
15,1587772800000,2352743588.494633
16,1587859200000,2402829550.629272
17,1587945600000,2419596600.6712656
18,1588032000000,2423050238.754496
19,1588118400000,2419444104.3851547
20,1588204800000,2563905019.005386
21,1588291200000,2521986646.0992293
22,1588377600000,2584203457.0105963
23,1588464000000,2594586018.023593
24,1588550400000,2526415835.1669164
25,1588636800000,2503993914.5150027
26,1588723200000,2490362707.68423
27,1588809600000,2471282824.909132
28,1588896000000,2525210913.3767586
29,1588982400000,2536683339.7633896
30,1589068800000,2495851840.77263
31,1589155200000,2258003159.3085427
32,1589241600000,2231962404.7689114
33,1589328000000,2327383911.2319427
34,1589414400000,2390558640.3661294
35,1589500800000,2418544120.370333
36,1589587200000,2317509550.3867197
37,1589673600000,2371381209.7246
38,1589760000000,2407687200.4762278
39,1589846400000,2456333484.604976
40,1589932800000,2542931077.0229716
41,1590019200000,2496496117.670325
42,1590105600000,2378561522.0209627
43,1590192000000,2433514189.1309667
44,1590278400000,2432310884.606986
45,1590364800000,2364976579.025716
46,1590451200000,2416857097.4160295
47,1590537600000,2395241252.1863637
48,1590624000000,2430831282.617362
49,1590710400000,2519147859.662903
50,1590796800000,2514242773.5231204
51,1590883200000,2623199554.996485
52,1590969600000,2508703324.268179
53,1591056000000,2655040579.638382
54,1591142400000,2555160161.912837
55,1591228800000,2592716465.79479
56,1591315200000,2622151848.8793354
57,1591401600000,2609083547.6139207
58,1591488000000,2594510241.243783
59,1591574400000,2569939047.803725
60,1591660800000,2577895737.5594263
61,1591747200000,2566693310.4844394
62,1591833600000,2567525315.8305535
63,1591920000000,2405200798.5210166
64,1592006400000,2458716489.464939
65,1592092800000,2482197891.362207
66,1592179200000,2450773581.1365023
67,1592265600000,2422013097.527766
68,1592352000000,2426825300.850088
69,1592438400000,2424884750.756174
70,1592524800000,2394325177.8205113
71,1592611200000,2361132693.7891955
72,1592697600000,2373897719.7149124
73,1592784000000,2358874801.5481806
74,1592870400000,2437229810.816067
75,1592956800000,2417477041.4239235
76,1593043200000,2370741002.541043
77,1593129600000,2353394947.3436666
78,1593216000000,2330947468.521242
79,1593302400000,2244154724.2146554
80,1593388800000,2273304407.392324
81,1593475200000,2288640054.1966186
82,1593561600000,2283276873.7562456
83,1593648000000,2341084177.1575685
84,1593734400000,2271469452.384509
85,1593820800000,2264032087.7304187
86,1593907200000,2297513032.595132
87,1593993600000,2289383666.6296763
88,1594080000000,2412542715.3395653
89,1594166400000,2480460217.1846757
90,1594252800000,2541966350.3867364
91,1594339200000,2485639478.8712196
92,1594425600000,2547754640.775417
93,1594512000000,2604910436.970678
94,1594598400000,2698495512.134894
95,1594684800000,2715245514.9643817
96,1594771200000,2675828065.214395
97,1594857600000,2603200688.7911263
98,1594944000000,2536635434.4637985
99,1595030400000,2523851243.1158524
100,1595116800000,2534108968.2212358
101,1595203200000,2665508175.6084304
102,1595289600000,2585027026.4680834
103,1595376000000,2623383923.4302955
104,1595462400000,2659506640.3949366
105,1595548800000,2760438295.9559746
106,1595635200000,2834374931.4004855
107,1595721600000,2935074481.7602634
108,1595808000000,2885760248.0615215
109,1595894400000,2910698837.6927166
110,1595980800000,2981283364.288104
111,1596067200000,2937168739.556445
112,1596153600000,2965551533.5553617
113,1596240000000,3060607052.3759594
114,1596326400000,3199992932.004054
115,1596412800000,3086470430.666615
116,1596499200000,3239321258.8805118
117,1596585600000,3293276431.1433253
118,1596672000000,3438061584.3995376
119,1596758400000,3370982469.604111
120,1596844800000,3278820417.3771663
121,1596931200000,3378074822.8434706
122,1597017600000,3315615444.52618
123,1597104000000,3339788962.5250287
124,1597190400000,3114747466.7359214
125,1597276800000,3188863589.722237
126,1597363200000,3215330089.174842
127,1597449600000,3404939838.3994946
128,1597536000000,3387732401.9469113
129,1597622400000,3473865123.87327
130,1597708800000,3476788975.014206
131,1597795200000,3397690721.6801467
132,1597881600000,3302382351.2778296
133,1597968000000,3414255884.599508
134,1598054400000,3260640031.8602395
135,1598140800000,3277780668.5864797
136,1598227200000,3233813725.379268
137,1598313600000,3336417081.5551314
138,1598400000000,3176756104.727373
139,1598486400000,3295697167.2175984
140,1598572800000,3411961399.9894276
141,1598659200000,3413764685.101583
142,1598745600000,3408734637.1192765
143,1598832000000,3486695535.7498837
144,1598918400000,3429200221.899609
145,1599004800000,3678647220.13556
146,1599091200000,3644800878.5971384
147,1599177600000,3057090063.010929
148,1599264000000,3101433925.4020534
149,1599350400000,2870047729.5380454
150,1599436800000,3441897088.2076416
151,1599523200000,3289616682.4529815
152,1599609600000,3391729400.819674
153,1599696000000,3606231301.6235266
154,1599782400000,3603704433.991752
155,1599868800000,3752802265.119167
156,1599955200000,4189027940.767463
157,1600041600000,4578726414.545887
158,1600128000000,4512125844.064322
159,1600214400000,4009700860.4941754
160,1600300800000,4122357757.56389
161,1600387200000,3959528315.0560274
162,1600473600000,3976466685.154942
163,1600560000000,4024066272.6573086
164,1600646400000,3891106120.858083
165,1600732800000,3493931691.129836
166,1600819200000,3535552468.393081
167,1600905600000,3373414662.270313
