,Time,Cronos Price
0,1586476800000,0.05317113481753942
1,1586563200000,0.04956265417372977
2,1586649600000,0.05002404068189228
3,1586736000000,0.05006175639524983
4,1586822400000,0.049767158023415005
5,1586908800000,0.05009294961195819
6,1586995200000,0.048173563262266135
7,1587081600000,0.050460466869197786
8,1587168000000,0.050163244864928624
9,1587254400000,0.05175996582276926
10,1587340800000,0.050939145875954495
11,1587427200000,0.048740841161540496
12,1587513600000,0.04796371007622379
13,1587600000000,0.050142894498897556
14,1587686400000,0.05204022138943574
15,1587772800000,0.05297459575142196
16,1587859200000,0.05402196465958208
17,1587945600000,0.055353480387605264
18,1588032000000,0.056015266771988086
19,1588118400000,0.056884199721092016
20,1588204800000,0.062289244601898705
21,1588291200000,0.057923003939368105
22,1588377600000,0.057799421680345645
23,1588464000000,0.060196352900321264
24,1588550400000,0.060144930968704526
25,1588636800000,0.06066346432919898
26,1588723200000,0.06293744902291543
27,1588809600000,0.06430983696018137
28,1588896000000,0.06631161685098994
29,1588982400000,0.0685674792815514
30,1589068800000,0.06364106358114029
31,1589155200000,0.06479536514986872
32,1589241600000,0.06480012093103432
33,1589328000000,0.06586832335332307
34,1589414400000,0.06731778651905562
35,1589500800000,0.06442711409668443
36,1589587200000,0.06359498213479782
37,1589673600000,0.06514653013194188
38,1589760000000,0.06758544608888849
39,1589846400000,0.06905572304234309
40,1589932800000,0.07074304204901528
41,1590019200000,0.07135051878865672
42,1590105600000,0.0688501474084196
43,1590192000000,0.07366765459893211
44,1590278400000,0.07446000635895343
45,1590364800000,0.07313150641113975
46,1590451200000,0.07907564854055768
47,1590537600000,0.07817866067883238
48,1590624000000,0.08032411256783438
49,1590710400000,0.08045593953081284
50,1590796800000,0.0800306901327587
51,1590883200000,0.08485599766292838
52,1590969600000,0.08493433798032092
53,1591056000000,0.09486996953209034
54,1591142400000,0.09015371512016035
55,1591228800000,0.0959761593835541
56,1591315200000,0.09966941675669
57,1591401600000,0.10024613145440138
58,1591488000000,0.10450444456913757
59,1591574400000,0.1079273397585256
60,1591660800000,0.10882377622622935
61,1591747200000,0.11723254745584606
62,1591833600000,0.11505833330078957
63,1591920000000,0.10506128563813895
64,1592006400000,0.10863685155825034
65,1592092800000,0.10901953011500634
66,1592179200000,0.11143773613733284
67,1592265600000,0.11069655377950019
68,1592352000000,0.11388791904158391
69,1592438400000,0.11574809299852024
70,1592524800000,0.11564930183059373
71,1592611200000,0.11671141975518633
72,1592697600000,0.1191156527729631
73,1592784000000,0.11891853668800449
74,1592870400000,0.12477013282685782
75,1592956800000,0.12457337183413986
76,1593043200000,0.11780088612811503
77,1593129600000,0.11628108437544163
78,1593216000000,0.11465900956488913
79,1593302400000,0.11245271321659875
80,1593388800000,0.11905769417299643
81,1593475200000,0.12652076060524012
82,1593561600000,0.12510124981823878
83,1593648000000,0.12606862697920596
84,1593734400000,0.12313556509233602
85,1593820800000,0.12491146010301936
86,1593907200000,0.12834705047442088
87,1593993600000,0.13080078100782921
88,1594080000000,0.13584231530952331
89,1594166400000,0.13834207546147434
90,1594252800000,0.14343003600241513
91,1594339200000,0.14216367355554965
92,1594425600000,0.14326503062617332
93,1594512000000,0.14485820613462846
94,1594598400000,0.14478800890989088
95,1594684800000,0.14237255999982143
96,1594771200000,0.14062006639107993
97,1594857600000,0.142959233651589
98,1594944000000,0.14197362158857146
99,1595030400000,0.1423642798380038
100,1595116800000,0.1450440857373295
101,1595203200000,0.14488179843031995
102,1595289600000,0.14183420617762688
103,1595376000000,0.14392698366328166
104,1595462400000,0.14648444073587355
105,1595548800000,0.14663190497716178
106,1595635200000,0.14680400511590522
107,1595721600000,0.15056252658741812
108,1595808000000,0.1541659756161067
109,1595894400000,0.16500254173238577
110,1595980800000,0.1593478289898977
111,1596067200000,0.1631856763286385
112,1596153600000,0.16210524579167648
113,1596240000000,0.16477121502680037
114,1596326400000,0.17419766517351531
115,1596412800000,0.16362776764181197
116,1596499200000,0.16304646955540358
117,1596585600000,0.15654876222923494
118,1596672000000,0.16317795055422676
119,1596758400000,0.16234250159962
120,1596844800000,0.1613790315219172
121,1596931200000,0.16667980364730944
122,1597017600000,0.1670286914235454
123,1597104000000,0.16911503809555872
124,1597190400000,0.1611441701618014
125,1597276800000,0.16231022189132657
126,1597363200000,0.1628157527527149
127,1597449600000,0.1647866048205305
128,1597536000000,0.16666619503962035
129,1597622400000,0.16865262576760012
130,1597708800000,0.16999253900064468
131,1597795200000,0.16635304808327095
132,1597881600000,0.16344066250923428
133,1597968000000,0.16359014345993927
134,1598054400000,0.16836207151537963
135,1598140800000,0.16781101825227565
136,1598227200000,0.17109104398549033
137,1598313600000,0.17444220015637388
138,1598400000000,0.1687680445187959
139,1598486400000,0.16977335943849464
140,1598572800000,0.1682147297646613
141,1598659200000,0.17287745968442364
142,1598745600000,0.17350864074154138
143,1598832000000,0.17790959928820216
144,1598918400000,0.17838367970515742
145,1599004800000,0.18114643642335462
146,1599091200000,0.17431093012385115
147,1599177600000,0.153706157541111
148,1599264000000,0.15609457597653986
149,1599350400000,0.1506661444223919
150,1599436800000,0.1507839494683039
151,1599523200000,0.14987783501291996
152,1599609600000,0.14866046141817094
153,1599696000000,0.15060341582279002
154,1599782400000,0.15101019585490089
155,1599868800000,0.1599896258790453
156,1599955200000,0.1636193392982743
157,1600041600000,0.16082011627095552
158,1600128000000,0.16862822782340706
159,1600214400000,0.16917418505391396
160,1600300800000,0.1683504625469498
161,1600387200000,0.1659254838372982
162,1600473600000,0.16615789302539677
163,1600560000000,0.16767878433162636
