,Time,XRP Volume
0,1586649600000,1781001895.317215
1,1586736000000,2018968368.000913
2,1586822400000,2228364721.4187016
3,1586908800000,1862120141.679969
4,1586995200000,1937688979.9904425
5,1587081600000,2619561036.3051047
6,1587168000000,1866168812.0107803
7,1587254400000,1914325546.147416
8,1587340800000,1849385510.2163618
9,1587427200000,2266839384.9033456
10,1587513600000,1826836936.6230843
11,1587600000000,1760936753.9293184
12,1587686400000,2284073444.0555773
13,1587772800000,1858298807.3877132
14,1587859200000,1645169648.3148115
15,1587945600000,1670524318.453444
16,1588032000000,1707500454.9858208
17,1588118400000,2539833760.635142
18,1588204800000,3099767025.4387383
19,1588291200000,3081128998.8249784
20,1588377600000,2290295884.770336
21,1588464000000,2161381421.7909484
22,1588550400000,2152766758.0567203
23,1588636800000,2467883145.441815
24,1588723200000,2076215754.529813
25,1588809600000,1917689134.9933252
26,1588896000000,2597154210.5145693
27,1588982400000,2408353529.8585777
28,1589068800000,2545120609.5792956
29,1589155200000,3090382984.656238
30,1589241600000,2435998568.3509817
31,1589328000000,1955868887.2627707
32,1589414400000,1887395769.1549468
33,1589500800000,1981280575.955368
34,1589587200000,1861283854.619996
35,1589673600000,1618674614.034291
36,1589760000000,1540402812.7256665
37,1589846400000,1746308904.9745858
38,1589932800000,1785715895.5300689
39,1590019200000,1733979832.258884
40,1590105600000,1544535157.9958904
41,1590192000000,1454970548.1993108
42,1590278400000,1249075196.4790466
43,1590364800000,1289364325.3179705
44,1590451200000,1572175495.217402
45,1590537600000,1392748661.8291106
46,1590624000000,1358329184.3187313
47,1590710400000,1499537828.1718988
48,1590796800000,1388432175.7669818
49,1590883200000,1464684241.188124
50,1590969600000,1594357118.5912654
51,1591056000000,1561471396.2505286
52,1591142400000,1737361211.0604463
53,1591228800000,1256977102.3094773
54,1591315200000,1313145139.9027412
55,1591401600000,1297990440.471073
56,1591488000000,1058657481.0092325
57,1591574400000,1197102621.5350354
58,1591660800000,1251561325.8446476
59,1591747200000,1328042189.9544604
60,1591833600000,1303802102.0559528
61,1591920000000,1464763764.6771228
62,1592006400000,1332835186.6451855
63,1592092800000,1187813850.7313433
64,1592179200000,1150138451.2404819
65,1592265600000,1454758196.3784769
66,1592352000000,1246601572.7074816
67,1592438400000,1319933194.810691
68,1592524800000,1163790865.0304394
69,1592611200000,1194918136.1065462
70,1592697600000,1064702970.5453695
71,1592784000000,1015362822.0192441
72,1592870400000,1031254003.7220415
73,1592956800000,1139321571.8165243
74,1593043200000,1180122764.4242494
75,1593129600000,1065596334.9274625
76,1593216000000,1282600124.6016247
77,1593302400000,1203944528.5554078
78,1593388800000,1184828112.2307308
79,1593475200000,1162669419.6907592
80,1593561600000,1042249688.527783
81,1593648000000,1164143368.3559296
82,1593734400000,907150118.059732
83,1593820800000,965079482.8005862
84,1593907200000,1028972055.3926406
85,1593993600000,989670839.2420546
86,1594080000000,1449017121.488291
87,1594166400000,1118759148.3724747
88,1594252800000,1887140940.6239734
89,1594339200000,1805510389.2195594
90,1594425600000,1271305899.553482
91,1594512000000,1148229968.005948
92,1594598400000,978263600.5955677
93,1594684800000,1295450904.9373937
94,1594771200000,1229683954.1416867
95,1594857600000,1087859005.570823
96,1594944000000,1142507498.2131786
97,1595030400000,1006735467.4007933
98,1595116800000,977356287.6924582
99,1595203200000,1234247613.9802349
100,1595289600000,1231350389.8074782
101,1595376000000,1211211329.9152627
102,1595462400000,1088497490.0178118
103,1595548800000,1558970692.8591578
104,1595635200000,1451104338.1077611
105,1595721600000,1348536567.2629757
106,1595808000000,1517041766.201547
107,1595894400000,1826151829.5592408
108,1595980800000,1862380443.3500698
109,1596067200000,2015964293.046442
110,1596153600000,1678463250.1292753
111,1596240000000,1847648958.4997876
