,Time,Cronos Volume
0,1586476800000,7524231.177383107
1,1586563200000,6586184.679678781
2,1586649600000,6679442.46412523
3,1586736000000,6662410.609087706
4,1586822400000,5896745.775604356
5,1586908800000,5457073.170049207
6,1586995200000,5023388.47270423
7,1587081600000,6062427.655356409
8,1587168000000,9613611.043389885
9,1587254400000,4673310.721902505
10,1587340800000,3870862.8333430584
11,1587427200000,4699614.587981327
12,1587513600000,14121948.76923401
13,1587600000000,6870697.032453438
14,1587686400000,6694875.820918009
15,1587772800000,5526113.179269111
16,1587859200000,4530993.916116827
17,1587945600000,4440080.858120754
18,1588032000000,18123039.689676844
19,1588118400000,8587689.565886833
20,1588204800000,9602775.153712101
21,1588291200000,10144575.396685392
22,1588377600000,8141448.632500843
23,1588464000000,6753722.980376473
24,1588550400000,7954402.258984738
25,1588636800000,8135456.851302552
26,1588723200000,12546715.067704597
27,1588809600000,7070859.791428996
28,1588896000000,13708649.975808784
29,1588982400000,8680941.515955953
30,1589068800000,7948415.422704269
31,1589155200000,7149057.980740011
32,1589241600000,10325950.44433278
33,1589328000000,7042081.666710429
34,1589414400000,8087532.3886865545
35,1589500800000,8706371.388215326
36,1589587200000,9354367.816306837
37,1589673600000,9475305.544319497
38,1589760000000,8127512.52648123
39,1589846400000,9254878.081078304
40,1589932800000,9019321.350224907
41,1590019200000,8690014.64330979
42,1590105600000,23020066.86633036
43,1590192000000,28011973.207549285
44,1590278400000,27131894.16917879
45,1590364800000,26339473.894681662
46,1590451200000,28610341.723732498
47,1590537600000,24599928.22072212
48,1590624000000,32489139.369243376
49,1590710400000,33049097.519871373
50,1590796800000,28808982.3868559
51,1590883200000,34579233.281416744
52,1590969600000,32024222.66891021
53,1591056000000,31886585.278759148
54,1591142400000,32923275.880544968
55,1591228800000,30456804.4938543
56,1591315200000,55183680.885568395
57,1591401600000,58900713.26828416
58,1591488000000,50711097.46840372
59,1591574400000,50693952.1156067
60,1591660800000,45763159.87713254
61,1591747200000,61027578.78850129
62,1591833600000,54031565.18756998
63,1591920000000,53099481.3788506
64,1592006400000,47646029.82031593
65,1592092800000,42668490.76096386
66,1592179200000,47705531.50987541
67,1592265600000,47015837.11727055
68,1592352000000,50075569.16282019
69,1592438400000,45063602.91506109
70,1592524800000,45670347.99787521
71,1592611200000,45687969.66656302
72,1592697600000,55301078.1993884
73,1592784000000,53549619.75929006
74,1592870400000,63056173.27704066
75,1592956800000,73827673.07586631
76,1593043200000,63467451.53231283
77,1593129600000,61763758.455986895
78,1593216000000,56728450.895704255
79,1593302400000,55927999.163351834
80,1593388800000,58109574.979265004
81,1593475200000,65656649.78489156
82,1593561600000,65566840.77706499
83,1593648000000,43338470.84386639
84,1593734400000,69214419.03550412
85,1593820800000,70157552.39200433
86,1593907200000,68744469.382984
87,1593993600000,64724651.48128416
88,1594080000000,74639158.96172577
89,1594166400000,67516964.2293552
90,1594252800000,71175287.33245496
91,1594339200000,66899658.640312836
92,1594425600000,66407775.84605592
93,1594512000000,66507807.59251841
94,1594598400000,61488377.90594846
95,1594684800000,83236095.56173006
96,1594771200000,60745930.93755216
97,1594857600000,66414511.54113087
98,1594944000000,53694701.35230808
99,1595030400000,59846934.79279488
100,1595116800000,65769848.87588354
101,1595203200000,62156119.64047998
102,1595289600000,64731640.81582953
103,1595376000000,69230899.1269426
104,1595462400000,65269225.88040163
105,1595548800000,69643963.76338762
106,1595635200000,71808514.54557228
107,1595721600000,80383759.816942
108,1595808000000,88099387.57829776
109,1595894400000,109739884.43047462
110,1595980800000,112162484.24663875
111,1596067200000,114621174.61715049
112,1596153600000,101402467.33882412
113,1596240000000,109621580.45591101
114,1596326400000,121143947.46805358
115,1596412800000,115599223.4637508
116,1596499200000,94073296.50408213
117,1596585600000,93984644.8422631
118,1596672000000,85116471.68969774
119,1596758400000,75988081.46921146
120,1596844800000,84809195.1160784
121,1596931200000,84986086.95833465
122,1597017600000,76031906.1757185
123,1597104000000,70719507.99767974
124,1597190400000,68771592.72882184
125,1597276800000,66322733.58021881
126,1597363200000,67124963.37759462
