,Time,Binance Price
0,1586476800000,15.028759187793476
1,1586563200000,13.718825913499494
2,1586649600000,13.82675861556279
3,1586736000000,14.26511654964438
4,1586822400000,15.045572860921823
5,1586908800000,15.582720804249114
6,1586995200000,14.585948622691053
7,1587081600000,15.666737861469233
8,1587168000000,15.616281099861975
9,1587254400000,16.552955039683997
10,1587340800000,16.04655015576096
11,1587427200000,15.027804337444612
12,1587513600000,15.096507864715075
13,1587600000000,15.686738791246619
14,1587686400000,15.970136706672747
15,1587772800000,15.894827424185603
16,1587859200000,16.237246136924366
17,1587945600000,16.373952524617437
18,1588032000000,16.412718663883027
19,1588118400000,16.36205781128239
20,1588204800000,17.39372140310465
21,1588291200000,16.98087375117161
22,1588377600000,17.451782873526643
23,1588464000000,17.519661263697216
24,1588550400000,17.094938351330704
25,1588636800000,17.01924643648172
26,1588723200000,16.883233236755714
27,1588809600000,16.51209313539124
28,1588896000000,16.973507971075282
29,1588982400000,17.17429638517618
30,1589068800000,16.831057985373022
31,1589155200000,15.319104122325577
32,1589241600000,15.079060743079339
33,1589328000000,15.737907614097121
34,1589414400000,16.178744648828747
35,1589500800000,16.354338338129395
36,1589587200000,15.665539932690042
37,1589673600000,15.998854029229479
38,1589760000000,16.280923203891124
39,1589846400000,16.609872253376516
40,1589932800000,17.167573323604675
41,1590019200000,16.881454352776174
42,1590105600000,16.0669095726554
43,1590192000000,16.425133794724594
44,1590278400000,16.476266625185772
45,1590364800000,15.992111456381426
46,1590451200000,16.343638959558113
47,1590537600000,16.222916082933914
48,1590624000000,16.453060488158076
49,1590710400000,17.0369406967339
50,1590796800000,16.995852092999662
51,1590883200000,17.74005658373599
52,1590969600000,17.08047499174346
53,1591056000000,17.86826730805164
54,1591142400000,17.278144088449928
55,1591228800000,17.5321020358125
56,1591315200000,17.76777119114562
57,1591401600000,17.64277721077558
58,1591488000000,17.544231651455394
59,1591574400000,17.3855854776686
60,1591660800000,17.392401206538306
61,1591747200000,17.35802857503161
62,1591833600000,17.400270231856606
63,1591920000000,16.314759849959252
64,1592006400000,16.633166760636566
65,1592092800000,16.8077330047672
66,1592179200000,16.571572104684737
67,1592265600000,16.377795766770895
68,1592352000000,16.41756493914464
69,1592438400000,16.38942281312573
70,1592524800000,16.16904727460514
71,1592611200000,15.964316175348207
72,1592697600000,16.05376830453166
73,1592784000000,15.948151805705841
74,1592870400000,16.493462868940206
75,1592956800000,16.37632339031764
76,1593043200000,15.994267023204436
77,1593129600000,15.913795778184568
78,1593216000000,15.760713523841984
79,1593302400000,15.143047161776026
80,1593388800000,15.366038526155645
81,1593475200000,15.475919362097487
82,1593561600000,15.429636809481364
83,1593648000000,15.82008122659031
84,1593734400000,15.351366990642129
85,1593820800000,15.292613762872096
86,1593907200000,15.55406577871271
87,1593993600000,15.492049777777622
88,1594080000000,16.31375648247885
89,1594166400000,16.77301864557116
90,1594252800000,17.18878039611592
91,1594339200000,16.819681237789247
92,1594425600000,17.216878342022962
93,1594512000000,17.614558389871206
94,1594598400000,18.2822214187026
95,1594684800000,18.38502672798852
96,1594771200000,18.090037256165
97,1594857600000,17.602996971592386
98,1594944000000,17.151995036741816
99,1595030400000,17.079910599644585
100,1595116800000,17.13579467205755
101,1595203200000,17.964878581093124
102,1595289600000,17.48010559244796
103,1595376000000,17.739935559584133
104,1595462400000,18.064678785451687
105,1595548800000,18.679071364962475
106,1595635200000,19.174068633442023
107,1595721600000,19.80752853012818
108,1595808000000,19.520963080493125
109,1595894400000,19.68213941131244
110,1595980800000,20.159614377404264
111,1596067200000,19.872261286815668
112,1596153600000,20.031460865664172
113,1596240000000,20.693955717192168
114,1596326400000,21.602045818170808
115,1596412800000,20.907934984515915
116,1596499200000,21.95591965275125
117,1596585600000,22.262851677672508
118,1596672000000,23.258103117077056
119,1596758400000,22.727115837134946
120,1596844800000,22.19926947187335
121,1596931200000,22.868892057353534
122,1597017600000,22.42038767132576
123,1597104000000,22.57428903780444
124,1597190400000,21.133878144094165
125,1597276800000,21.60059011305779
126,1597363200000,21.76114130202024
127,1597449600000,23.024404503993193
128,1597536000000,22.90796258336114
129,1597622400000,23.47471960773288
130,1597708800000,23.52633097478227
131,1597795200000,22.97380165407701
132,1597881600000,22.307582956985765
133,1597968000000,23.07262944423247
134,1598054400000,22.094652464902527
135,1598140800000,22.175839292385888
136,1598227200000,21.837617728162876
137,1598313600000,22.571494222389706
138,1598400000000,21.452477453617824
139,1598486400000,22.225939657310363
140,1598572800000,23.071884718613457
141,1598659200000,23.06537998016267
142,1598745600000,22.991704969773377
143,1598832000000,23.62291042617998
144,1598918400000,23.163433626535507
145,1599004800000,24.666511939506307
146,1599091200000,24.64635903957026
147,1599177600000,20.516723360580535
148,1599264000000,20.967279424968797
149,1599350400000,19.40743243842831
150,1599436800000,23.236376313822095
151,1599523200000,22.31487527882162
152,1599609600000,23.00880342091523
153,1599696000000,24.486045253548028
154,1599782400000,24.41384260442618
155,1599868800000,25.389281087797873
156,1599955200000,28.453207780628457
157,1600041600000,31.117471967379696
158,1600128000000,31.213230898254388
159,1600214400000,27.17624422268861
160,1600300800000,27.85508077250597
161,1600387200000,26.791783085251982
162,1600473600000,27.09515766101024
163,1600560000000,27.202934633274253
164,1600646400000,26.429360501624764
165,1600732800000,23.533250188050296
166,1600819200000,24.026975887077135
167,1600905600000,22.810300091418643
168,1600992000000,24.518301019222108
169,1601078400000,24.625905335253822
170,1601164800000,26.17859218285808
171,1601251200000,26.194385294610697
172,1601337600000,26.849458383572696
173,1601424000000,28.78426116230888
