,Time,Binance Volume
0,1586476800000,365221668.38892925
1,1586563200000,339027340.51505905
2,1586649600000,379071140.06073177
3,1586736000000,404979912.8145258
4,1586822400000,415375272.6500968
5,1586908800000,431913949.0107081
6,1586995200000,393386119.49128634
7,1587081600000,414415761.36328465
8,1587168000000,416729931.6338204
9,1587254400000,414857231.9136506
10,1587340800000,413369977.709689
11,1587427200000,377680441.78727716
12,1587513600000,304659694.1730378
13,1587600000000,372342615.9260412
14,1587686400000,214383568.26007268
15,1587772800000,347741153.1115197
16,1587859200000,357506648.81549746
17,1587945600000,372633462.4635326
18,1588032000000,382565165.0994733
19,1588118400000,380017273.227351
20,1588204800000,458695909.0023823
21,1588291200000,487612724.2536601
22,1588377600000,454273601.33557147
23,1588464000000,403799189.0925784
24,1588550400000,376859551.6469846
25,1588636800000,422356843.275439
26,1588723200000,369161574.8576094
27,1588809600000,384069116.94024825
28,1588896000000,404774330.5950351
29,1588982400000,341410123.1838205
30,1589068800000,373684312.1517708
31,1589155200000,437921979.77575225
32,1589241600000,391877781.01694405
33,1589328000000,370701815.9903347
34,1589414400000,309359496.9698777
35,1589500800000,309626333.98877025
36,1589587200000,311813810.4933699
37,1589673600000,312867861.06848085
38,1589760000000,275407723.4557968
39,1589846400000,273184898.2741001
40,1589932800000,305892968.0599993
41,1590019200000,288053715.1739693
42,1590105600000,247644529.32985726
43,1590192000000,267131549.19327265
44,1590278400000,261935069.89480847
45,1590364800000,266690358.4166988
46,1590451200000,250808033.5711497
47,1590537600000,243698612.37050465
48,1590624000000,271999812.2086002
49,1590710400000,289518116.6239882
50,1590796800000,253571349.5085586
51,1590883200000,302824541.290146
52,1590969600000,297854669.4223539
53,1591056000000,315491464.56560177
54,1591142400000,271525033.77835363
55,1591228800000,254801494.10416886
56,1591315200000,257877264.18799347
57,1591401600000,273877565.9260186
58,1591488000000,220115765.14981315
59,1591574400000,222645848.71687517
60,1591660800000,204601412.02459878
61,1591747200000,198081099.2391379
62,1591833600000,210381520.46037987
63,1591920000000,210778571.13409096
64,1592006400000,220024360.0700192
65,1592092800000,207559002.9352048
66,1592179200000,190361237.14640367
67,1592265600000,195644814.4210931
68,1592352000000,197505707.13496932
69,1592438400000,176497164.57965845
70,1592524800000,164635413.13393015
71,1592611200000,160644324.961006
72,1592697600000,163099721.25134048
73,1592784000000,142296013.71279278
74,1592870400000,176844093.98665848
75,1592956800000,159228450.33758786
76,1593043200000,157180736.40353307
77,1593129600000,135826468.64633995
78,1593216000000,139383327.08905104
79,1593302400000,148605617.12573752
80,1593388800000,155023700.98705325
81,1593475200000,162349712.6537846
82,1593561600000,152275345.61008513
83,1593648000000,150816511.4860776
84,1593734400000,137641601.15897283
85,1593820800000,149724446.6696348
86,1593907200000,162034682.78683698
87,1593993600000,148849664.41877323
88,1594080000000,158082223.97192276
89,1594166400000,199544301.54038182
90,1594252800000,212912177.01362133
91,1594339200000,182521636.96485597
92,1594425600000,176179742.2433897
93,1594512000000,186529499.80665672
94,1594598400000,232019605.6367238
95,1594684800000,258356560.2064651
96,1594771200000,210848062.3672368
97,1594857600000,168240728.71579066
98,1594944000000,168565071.74256504
99,1595030400000,144813495.0179024
100,1595116800000,140702673.06949532
101,1595203200000,215049200.92058906
102,1595289600000,216275927.6935094
103,1595376000000,188660804.88108465
