,Time,Polymath Market Cap
0,1586476800000,12675647.148336753
1,1586563200000,11605795.308282446
2,1586649600000,11456504.619795825
3,1586736000000,11758878.44974634
4,1586822400000,11271639.452735355
5,1586908800000,11798339.000978014
6,1586995200000,11363660.750644334
7,1587081600000,12059938.309860531
8,1587168000000,11987143.579666596
9,1587254400000,12535022.875395535
10,1587340800000,12132942.661514526
11,1587427200000,11309419.295688638
12,1587513600000,11412588.082910664
13,1587600000000,12085239.95436167
14,1587686400000,12157282.466793353
15,1587772800000,12330049.611369027
16,1587859200000,12634551.605175711
17,1587945600000,12852596.282371055
18,1588032000000,12670104.487087924
19,1588118400000,12796101.863155147
20,1588204800000,13694268.928293195
21,1588291200000,13216389.614461938
22,1588377600000,14109822.184726072
23,1588464000000,14407873.33851661
24,1588550400000,13669933.02215541
25,1588636800000,13868782.781543966
26,1588723200000,13881141.809969597
27,1588809600000,13752618.603791585
28,1588896000000,15593715.217246993
29,1588982400000,15499072.782106856
30,1589068800000,15322234.933665125
31,1589155200000,14089179.369319525
32,1589241600000,13536521.405366505
33,1589328000000,14777002.25001382
34,1589414400000,15488796.91986923
35,1589500800000,16025702.45611056
36,1589587200000,15413974.273194138
37,1589673600000,16064077.489624009
38,1589760000000,16602480.58917496
39,1589846400000,17234114.298792187
40,1589932800000,18885905.823933773
41,1590019200000,20099502.647703525
42,1590105600000,18523587.787495866
43,1590192000000,18883252.170681927
44,1590278400000,19398264.147926833
45,1590364800000,21635462.845241647
46,1590451200000,22340474.585054588
47,1590537600000,21720804.801261626
48,1590624000000,21304220.443244267
49,1590710400000,22987042.2775229
50,1590796800000,22931053.298087977
51,1590883200000,24456454.390264075
52,1590969600000,26783280.193116862
53,1591056000000,29541105.81715785
54,1591142400000,28870157.270120353
55,1591228800000,29297565.98260076
56,1591315200000,29386161.365878742
57,1591401600000,29347702.130560625
58,1591488000000,30296642.857462175
59,1591574400000,32437149.39647972
60,1591660800000,33047481.573913485
61,1591747200000,32874686.746775106
62,1591833600000,31252740.008208994
63,1591920000000,25440056.449421603
64,1592006400000,31122080.06339233
65,1592092800000,33852735.333928905
66,1592179200000,30957995.717449524
67,1592265600000,32589549.54006769
68,1592352000000,33110091.741102077
69,1592438400000,33407582.67235312
70,1592524800000,35272209.70058827
71,1592611200000,33644516.11457704
72,1592697600000,35149712.30725725
73,1592784000000,36230519.27181811
74,1592870400000,34175575.81054269
75,1592956800000,32368470.731321767
76,1593043200000,30821029.351182677
77,1593129600000,30259717.11798961
78,1593216000000,27993403.429187052
79,1593302400000,25612602.89821896
80,1593388800000,26791516.817341935
81,1593475200000,26940965.07919637
82,1593561600000,25964630.46471407
83,1593648000000,25597300.64351526
84,1593734400000,24973754.654602863
