,Time,XRP Market Cap
0,1586649600000,8293802411.695811
1,1586736000000,8265151211.275384
2,1586822400000,8299611707.552383
3,1586908800000,8202409954.834599
4,1586995200000,8011761733.297829
5,1587081600000,8313796758.115251
6,1587168000000,8333268489.325
7,1587254400000,8564164034.737875
8,1587340800000,8376547767.92359
9,1587427200000,8086477705.570027
10,1587513600000,8074284895.834148
11,1587600000000,8275159764.626271
12,1587686400000,8382250197.9264555
13,1587772800000,8482035724.246257
14,1587859200000,8571317096.772564
15,1587945600000,8682610510.595545
16,1588032000000,8729627019.338083
17,1588118400000,9405727836.780415
18,1588204800000,9970767177.657255
19,1588291200000,9449611235.487078
20,1588377600000,9616759488.62069
21,1588464000000,9833981773.529413
22,1588550400000,9678343975.978186
23,1588636800000,9590628118.624918
24,1588723200000,9557432319.43245
25,1588809600000,9538926053.665503
26,1588896000000,9676456757.334675
27,1588982400000,9652873648.681679
28,1589068800000,9545970574.247509
29,1589155200000,8860901078.056873
30,1589241600000,8552948875.18262
31,1589328000000,8693754579.16676
32,1589414400000,8892830320.503365
33,1589500800000,8971968255.938885
34,1589587200000,8755377615.674406
35,1589673600000,8852789501.286718
36,1589760000000,8860387827.044128
37,1589846400000,9011434283.414942
38,1589932800000,9031729491.792507
39,1590019200000,8905106034.5785
40,1590105600000,8602543016.30914
41,1590192000000,8816681088.275835
42,1590278400000,8714462345.390297
43,1590364800000,8586301007.646535
44,1590451200000,8682758874.370806
45,1590537600000,8567002549.941864
46,1590624000000,8699660782.665977
47,1590710400000,8857724066.1647
48,1590796800000,8731198879.71849
49,1590883200000,9100788486.566254
50,1590969600000,8966762754.982592
51,1591056000000,9302180983.968418
52,1591142400000,8967520116.600977
53,1591228800000,8982880357.683361
54,1591315200000,9036511117.737663
55,1591401600000,8983729851.068195
56,1591488000000,8959322858.43545
57,1591574400000,8950315641.572674
58,1591660800000,9001388939.03785
59,1591747200000,8878556339.039703
60,1591833600000,8946088933.548634
61,1591920000000,8386316203.510396
62,1592006400000,8531942725.594468
63,1592092800000,8528927628.977804
64,1592179200000,8426050743.047891
65,1592265600000,8520123141.714212
66,1592352000000,8470921493.314353
67,1592438400000,8577386518.673258
68,1592524800000,8445132213.438693
69,1592611200000,8313481454.272817
70,1592697600000,8365620576.287947
71,1592784000000,8223074113.743773
72,1592870400000,8440336061.247619
73,1592956800000,8350911268.409599
74,1593043200000,8157424802.059575
75,1593129600000,8174313655.851336
76,1593216000000,8147773072.74046
77,1593302400000,7834494705.544174
78,1593388800000,7893165939.317899
79,1593475200000,7910841789.320565
80,1593561600000,7825863681.306612
81,1593648000000,7876682374.54288
82,1593734400000,7804027232.306131
83,1593820800000,7844409345.792821
84,1593907200000,7927764847.482127
85,1593993600000,7886205457.101266
86,1594080000000,8382624840.303058
87,1594166400000,8221452519.17162
88,1594252800000,9112910280.659475
89,1594339200000,9043230526.68333
90,1594425600000,8893727516.201387
91,1594512000000,9013255810.651312
92,1594598400000,8966264523.682837
93,1594684800000,8890650610.877533
94,1594771200000,8915032188.42276
95,1594857600000,8838298047.426737
96,1594944000000,8697735762.463654
97,1595030400000,8705421339.112036
98,1595116800000,8938710463.140823
99,1595203200000,8937948631.520885
100,1595289600000,8723579266.387522
101,1595376000000,8912758866.8116
102,1595462400000,9117327614.133474
103,1595548800000,9317240501.250225
104,1595635200000,9164825016.57929
105,1595721600000,9607904717.300404
106,1595808000000,9655192377.359356
107,1595894400000,10031095202.674301
108,1595980800000,10311201250.050516
109,1596067200000,10884642645.428476
110,1596153600000,11025956249.094622
111,1596240000000,11629863144.261322
112,1596326400000,13102382209.080418
113,1596412800000,12840645689.037197
114,1596499200000,13884633781.743803
115,1596585600000,13462388683.522419
116,1596672000000,13565668790.998877
117,1596758400000,13609846976.87266
118,1596844800000,13200238136.076149
119,1596931200000,13179779923.53841
120,1597017600000,12903150357.63545
121,1597104000000,13205041144.120667
122,1597190400000,12779443008.676954
123,1597276800000,12671000194.634298
124,1597363200000,13198440485.89151
125,1597449600000,13455250546.009106
126,1597536000000,13435515076.955982
127,1597622400000,13623503827.413843
128,1597708800000,14132765558.945097
129,1597795200000,13616539460.561516
130,1597881600000,13039045107.718191
131,1597968000000,13121088346.449871
132,1598054400000,12559855812.78279
133,1598140800000,12828364996.706217
134,1598227200000,12847345400.40493
135,1598313600000,12990310946.328604
136,1598400000000,12481198829.120821
137,1598486400000,12444058389.73597
138,1598572800000,11892725357.024134
139,1598659200000,12209429474.405241
140,1598745600000,12327872181.022144
141,1598832000000,12698936383.28671
142,1598918400000,12734844410.00787
143,1599004800000,13354060728.872845
144,1599091200000,12382372183.463934
145,1599177600000,11065297518.795168
146,1599264000000,11509605205.140549
147,1599350400000,10673276821.059345
148,1599436800000,10779606840.159895
149,1599523200000,10890870593.009487
150,1599609600000,10612102851.321522
151,1599696000000,10762935066.23375
152,1599782400000,10937780219.207964
153,1599868800000,10913243278.057064
154,1599955200000,11065127814.291183
155,1600041600000,10882899642.99869
156,1600128000000,11089299566.068031
157,1600214400000,10924989830.669458
158,1600300800000,11135223431.648582
159,1600387200000,11385313831.484951
160,1600473600000,11264465645.812262
161,1600560000000,11350057025.953384
162,1600646400000,11108885769.40159
163,1600732800000,10487928992.66827
164,1600819200000,10492066944.17281
165,1600905600000,9962004555.544462
166,1600992000000,10494131135.670378
167,1601078400000,10889835408.523603
168,1601164800000,10890187788.561167
169,1601251200000,10923070031.636724
170,1601337600000,10909450364.66475
171,1601424000000,10971187241.150055
172,1601510400000,10899063751.06877
173,1601596800000,10764337318.910017
