,Time,Ethereum Price
0,1586476800000,170.09510352387568
1,1586563200000,157.74015800780134
2,1586649600000,158.32787794181905
3,1586736000000,158.8638257195104
4,1586822400000,156.70135879140688
5,1586908800000,158.26715118298955
6,1586995200000,153.2228636800284
7,1587081600000,171.7759907508837
8,1587168000000,170.445890477055
9,1587254400000,187.14354411560592
10,1587340800000,180.05859654051866
11,1587427200000,170.70405868653958
12,1587513600000,170.45154288047368
13,1587600000000,182.2767576620704
14,1587686400000,184.59370248021838
15,1587772800000,187.34336861419638
16,1587859200000,194.11423682570447
17,1587945600000,197.22990444623989
18,1588032000000,196.46262535084685
19,1588118400000,197.15473156634306
20,1588204800000,215.54817266567386
21,1588291200000,205.55600541063674
22,1588377600000,211.96829534904975
23,1588464000000,213.94301121407548
24,1588550400000,210.02470947464775
25,1588636800000,206.8325342346069
26,1588723200000,205.22517973985205
27,1588809600000,200.25479450009442
28,1588896000000,212.29247620086525
29,1588982400000,211.68904835113835
30,1589068800000,210.4318181376063
31,1589155200000,188.13722615896586
32,1589241600000,185.67471809740294
33,1589328000000,189.30578181851274
34,1589414400000,199.36937254304945
35,1589500800000,203.21124699378416
36,1589587200000,194.27309778153102
37,1589673600000,200.58339090310048
38,1589760000000,206.76889403683904
39,1589846400000,214.35764164526782
40,1589932800000,213.68672021176667
41,1590019200000,209.9207882888633
42,1590105600000,198.9175157507187
43,1590192000000,206.22772963994552
44,1590278400000,206.4112069583191
45,1590364800000,200.69072858230618
46,1590451200000,203.81011834234977
47,1590537600000,200.96361540675866
48,1590624000000,207.84589389085414
49,1590710400000,219.59156405880168
50,1590796800000,220.49116734603788
51,1590883200000,242.70977026782677
52,1590969600000,232.33100303896677
53,1591056000000,248.04456658448655
54,1591142400000,237.26532012867918
55,1591228800000,244.1253366100756
56,1591315200000,243.70782131595863
57,1591401600000,240.24696898765103
58,1591488000000,242.02164036721499
59,1591574400000,244.22674439497985
60,1591660800000,246.21278326044262
61,1591747200000,243.8495266518988
62,1591833600000,247.5419715295243
63,1591920000000,232.00078536182022
64,1592006400000,237.59341087744238
65,1592092800000,238.29362910089247
66,1592179200000,232.11252047744935
67,1592265600000,231.0170115525279
68,1592352000000,235.28847948297147
69,1592438400000,233.8636184621818
70,1592524800000,231.68485732135008
71,1592611200000,228.9592128032193
72,1592697600000,228.8691487972198
73,1592784000000,227.79190590968685
74,1592870400000,243.36470999245498
75,1592956800000,243.07948223903702
76,1593043200000,234.5649846444734
77,1593129600000,232.64870349961575
78,1593216000000,229.6365260272679
79,1593302400000,221.0260852973422
80,1593388800000,225.12294616525017
81,1593475200000,228.20576377381224
82,1593561600000,225.59281496891896
83,1593648000000,230.66194359094902
84,1593734400000,226.57442434030435
85,1593820800000,225.1764054804081
86,1593907200000,229.09471646218861
87,1593993600000,227.8993750381917
88,1594080000000,241.52685187431663
89,1594166400000,238.96448054067793
90,1594252800000,246.85900786802029
91,1594339200000,241.97512857897888
92,1594425600000,240.95495378293265
93,1594512000000,239.10202554671358
94,1594598400000,241.7715226007061
95,1594684800000,239.63878681174097
96,1594771200000,240.25147066847245
97,1594857600000,238.66359720631723
98,1594944000000,233.837074562722
99,1595030400000,232.78147743826054
100,1595116800000,235.6811447764246
101,1595203200000,238.89523167867932
102,1595289600000,236.06009844538684
103,1595376000000,245.23373502634252
104,1595462400000,263.7624639660021
105,1595548800000,274.7236202591814
106,1595635200000,279.42705624758224
107,1595721600000,305.0381394111965
108,1595808000000,310.51799095173624
109,1595894400000,320.47619130968184
110,1595980800000,316.4067660520556
111,1596067200000,317.5390729161191
112,1596153600000,334.7419220365616
113,1596240000000,346.00350607288686
114,1596326400000,387.94242117124685
115,1596412800000,370.7323024312388
116,1596499200000,386.24744771780877
117,1596585600000,389.3830083498991
118,1596672000000,400.18436250317995
119,1596758400000,394.5417454611831
120,1596844800000,379.1351558498163
121,1596931200000,391.47843864211467
122,1597017600000,389.62293111291143
123,1597104000000,395.20991365718925
124,1597190400000,379.17476395275435
125,1597276800000,387.50053082397886
126,1597363200000,427.49026536796873
127,1597449600000,438.7625874702974
128,1597536000000,432.6546652389318
129,1597622400000,433.43186093211244
130,1597708800000,430.03250508972275
131,1597795200000,422.10665286599425
132,1597881600000,406.5744691821068
133,1597968000000,416.46977582279794
134,1598054400000,386.8238914189483
135,1598140800000,395.88501828908585
136,1598227200000,390.7891350477376
137,1598313600000,408.2691456317229
138,1598400000000,383.66214311829924
139,1598486400000,385.75249987492117
140,1598572800000,381.8376513210842
141,1598659200000,395.1382132386204
142,1598745600000,399.374543834064
143,1598832000000,428.2956791635218
144,1598918400000,435.6930232991007
145,1599004800000,475.6846642626859
146,1599091200000,439.35376021531494
147,1599177600000,383.6915311779978
148,1599264000000,387.9040290939166
149,1599350400000,334.46859301354317
150,1599436800000,352.99300214607035
151,1599523200000,351.8778602923998
