,Time,Cronos Market Cap
0,1586476800000,757166113.5293558
1,1586563200000,704075888.526181
2,1586649600000,712703263.8113205
3,1586736000000,717469000.7533438
4,1586822400000,708725076.1342885
5,1586908800000,712480049.2810273
6,1586995200000,686741441.0425711
7,1587081600000,717644313.0045848
8,1587168000000,713471091.8571157
9,1587254400000,736508281.6243502
10,1587340800000,724040524.5586725
11,1587427200000,692982554.2256898
12,1587513600000,682260062.5969652
13,1587600000000,713521231.2228032
14,1587686400000,739954502.439997
15,1587772800000,752848676.1979648
16,1587859200000,767280650.9917972
17,1587945600000,787507277.9281775
18,1588032000000,797135805.6282845
19,1588118400000,809334381.2093413
20,1588204800000,952051221.5826658
21,1588291200000,961512128.3647902
22,1588377600000,956312483.6854942
23,1588464000000,1001804480.1784596
24,1588550400000,997586204.2262663
25,1588636800000,1008021276.2892642
26,1588723200000,1043450615.6224623
27,1588809600000,1073122803.7880725
28,1588896000000,1107784388.9308732
29,1588982400000,1146024962.279514
30,1589068800000,1053053642.0590863
31,1589155200000,1078949761.3770258
32,1589241600000,1082695774.9960737
33,1589328000000,1102340939.5822573
34,1589414400000,1126351974.6709065
35,1589500800000,1093145299.0412924
36,1589587200000,1075463739.4792974
37,1589673600000,1098304696.9442432
38,1589760000000,1134342462.8873806
39,1589846400000,1179061093.358149
40,1589932800000,1195097766.5656915
41,1590019200000,1207170720.7841845
42,1590105600000,1175612550.6847517
43,1590192000000,1253052797.6458325
44,1590278400000,1267282108.2270648
45,1590364800000,1246274406.7443595
46,1590451200000,1349062066.211329
47,1590537600000,1332282276.8519049
48,1590624000000,1367134358.568748
49,1590710400000,1374060635.4343784
50,1590796800000,1367338094.3212507
51,1590883200000,1463167636.3381827
52,1590969600000,1463823237.6208735
53,1591056000000,1613715558.117495
54,1591142400000,1562923868.012683
55,1591228800000,1659789406.6301782
56,1591315200000,1724448316.5925317
57,1591401600000,1735336922.1727924
58,1591488000000,1809492492.17028
59,1591574400000,1867989287.8492892
60,1591660800000,1899011327.250938
61,1591747200000,2041320950.313079
62,1591833600000,2000195929.4902146
63,1591920000000,1833059196.8563545
64,1592006400000,1895168088.4911425
65,1592092800000,1897755996.9937696
66,1592179200000,1950253754.787632
67,1592265600000,1941336190.5996659
68,1592352000000,1999419095.1541076
69,1592438400000,2032162973.8599577
70,1592524800000,2036734831.9355826
71,1592611200000,2051511882.825264
72,1592697600000,2101280653.1299062
73,1592784000000,2099532382.666166
74,1592870400000,2204317879.591147
75,1592956800000,2208237840.873677
76,1593043200000,2087599461.2457795
77,1593129600000,2064746655.0825765
78,1593216000000,2035357011.2273757
79,1593302400000,1999647672.4712589
80,1593388800000,2122701348.1120527
81,1593475200000,2254333378.3641105
82,1593561600000,2234742413.536215
83,1593648000000,2254432750.4405694
84,1593734400000,2203244378.375985
85,1593820800000,2240887896.5461764
86,1593907200000,2302974862.3437853
87,1593993600000,2348290607.8346434
88,1594080000000,2443785917.8409142
89,1594166400000,2491056664.6221533
90,1594252800000,2585168547.32494
91,1594339200000,2567298164.979026
92,1594425600000,2585576173.246704
93,1594512000000,2617698924.3780065
94,1594598400000,2620842345.2843533
95,1594684800000,2581237994.5975814
96,1594771200000,2550740128.462171
97,1594857600000,2601282227.700626
98,1594944000000,2583953232.2699785
99,1595030400000,2593250123.6333566
100,1595116800000,2646557723.1455765
101,1595203200000,2645423118.307535
102,1595289600000,2593524261.8950553
103,1595376000000,2633631756.684532
104,1595462400000,2686150491.1361184
105,1595548800000,2691666306.8433256
106,1595635200000,2696815446.2112813
107,1595721600000,2769600546.175716
108,1595808000000,2841553293.5124235
109,1595894400000,3044153641.5125394
110,1595980800000,2944587278.8180985
111,1596067200000,3014362491.6246443
112,1596153600000,3006618142.0322757
113,1596240000000,3056610308.5863132
114,1596326400000,3228880334.0115743
115,1596412800000,3044082195.452048
116,1596499200000,3033580448.250319
117,1596585600000,2918608317.626204
118,1596672000000,3041954622.8090363
119,1596758400000,3028208220.398869
120,1596844800000,3013433982.1944084
121,1596931200000,3117538102.964771
122,1597017600000,3126450427.3340507
123,1597104000000,3169119825.5019946
124,1597190400000,3022029919.5822506
125,1597276800000,3049703038.937867
126,1597363200000,3048454581.5439677
127,1597449600000,3102027426.7256
128,1597536000000,3144113351.854529
129,1597622400000,3173329071.0243597
130,1597708800000,3214346728.607488
131,1597795200000,3150418373.1859007
132,1597881600000,3082657459.1123877
133,1597968000000,3103357310.5220003
134,1598054400000,3195098189.7084517
135,1598140800000,3190486974.7589946
136,1598227200000,3335944780.5204687
137,1598313600000,3413536467.139922
138,1598400000000,3309719790.1128063
139,1598486400000,3327322674.8307495
140,1598572800000,3305346615.0004897
141,1598659200000,3398669070.390177
142,1598745600000,3410502978.282706
143,1598832000000,3501034595.0670686
144,1598918400000,3527223195.0770226
145,1599004800000,3599858028.998208
146,1599091200000,3438926051.451995
147,1599177600000,3038445030.3779607
148,1599264000000,3092878586.4830194
149,1599350400000,2978096284.4710646
150,1599436800000,2997006940.7072563
151,1599523200000,2979821317.455135
152,1599609600000,2949843497.6978493
153,1599696000000,2992581499.687976
154,1599782400000,3005045930.527515
155,1599868800000,3188357229.3498354
156,1599955200000,3260119833.757238
157,1600041600000,3215845920.1209235
158,1600128000000,3370709958.1362276
159,1600214400000,3386760248.942741
160,1600300800000,3377002101.8069563
161,1600387200000,3337199442.666317
162,1600473600000,3342504101.724358
163,1600560000000,3375015052.2493577
164,1600646400000,3223852020.5430503
165,1600732800000,3080047680.6459265
166,1600819200000,3077632510.791268
167,1600905600000,2985593181.428988
