,Time,Tron Price
0,1586476800000,0.01343539335710789
1,1586563200000,0.012503990535984909
2,1586649600000,0.012500002772784706
3,1586736000000,0.012708393107387183
4,1586822400000,0.012576457938402726
5,1586908800000,0.012419709123270005
6,1586995200000,0.012178679765913322
7,1587081600000,0.012984876128595467
8,1587168000000,0.012904272578203275
9,1587254400000,0.013345129915463265
10,1587340800000,0.012909707818864817
11,1587427200000,0.012415169093237111
12,1587513600000,0.012542611800182612
13,1587600000000,0.013000551885077182
14,1587686400000,0.01347907094454278
15,1587772800000,0.013902145278576382
16,1587859200000,0.013992309947938203
17,1587945600000,0.014241604169433817
18,1588032000000,0.014505654366796406
19,1588118400000,0.015234417749583475
20,1588204800000,0.016278926011921116
21,1588291200000,0.015246801386381239
22,1588377600000,0.01581227925194013
23,1588464000000,0.016336343047377275
24,1588550400000,0.016043103565153087
25,1588636800000,0.01624226878331767
26,1588723200000,0.015926249269899394
27,1588809600000,0.01574023398210986
28,1588896000000,0.016048415538583223
29,1588982400000,0.016213148417473244
30,1589068800000,0.01609702884070741
31,1589155200000,0.014379072480111593
32,1589241600000,0.013963765091165575
33,1589328000000,0.014488267186478018
34,1589414400000,0.01504881599292487
35,1589500800000,0.015322690524781326
36,1589587200000,0.014867080912375095
37,1589673600000,0.0149909363300826
38,1589760000000,0.015010809028839368
39,1589846400000,0.015311585244382829
40,1589932800000,0.015529955246080616
41,1590019200000,0.01499457414352409
42,1590105600000,0.014173344583720437
43,1590192000000,0.015018580273446842
44,1590278400000,0.014941434288038732
45,1590364800000,0.014235630501439002
46,1590451200000,0.014723843665563867
47,1590537600000,0.014544958211045728
48,1590624000000,0.014752063662688306
49,1590710400000,0.015153233754666328
50,1590796800000,0.014930610863729665
51,1590883200000,0.016268951028373706
52,1590969600000,0.015886498702243977
53,1591056000000,0.016991912478260984
54,1591142400000,0.016297772808875118
55,1591228800000,0.016811954698921543
56,1591315200000,0.017112112180686204
57,1591401600000,0.016846187758758638
58,1591488000000,0.017016186660442793
59,1591574400000,0.01812456554505771
60,1591660800000,0.017969433704120873
61,1591747200000,0.01755729859768002
62,1591833600000,0.017593232034916636
63,1591920000000,0.0157736805679571
64,1592006400000,0.0163949443813269
65,1592092800000,0.016731780628468723
66,1592179200000,0.016182148660392495
67,1592265600000,0.016177984743011495
68,1592352000000,0.016131104208853227
69,1592438400000,0.016187608352811005
70,1592524800000,0.01605732041887044
71,1592611200000,0.01588838316489191
72,1592697600000,0.01598599499496909
73,1592784000000,0.015865100146243313
74,1592870400000,0.01638383596755861
75,1592956800000,0.016466142491032603
76,1593043200000,0.01594387393303249
77,1593129600000,0.015928172767150774
78,1593216000000,0.015850230224023994
79,1593302400000,0.015454085393282387
80,1593388800000,0.015763294455577757
81,1593475200000,0.016187499949020568
82,1593561600000,0.016387490075733424
83,1593648000000,0.016871375719738547
84,1593734400000,0.0166248000696269
85,1593820800000,0.0166310824886699
86,1593907200000,0.016786959237517444
87,1593993600000,0.01679022027334656
88,1594080000000,0.018034075278025922
89,1594166400000,0.017139148304568735
90,1594252800000,0.01792971452087384
91,1594339200000,0.01846928960914801
92,1594425600000,0.01814188937427589
93,1594512000000,0.018356096646408793
94,1594598400000,0.018162470542398782
95,1594684800000,0.01753879789720725
96,1594771200000,0.017631995652319373
97,1594857600000,0.017580253511281254
98,1594944000000,0.017149637126387896
99,1595030400000,0.01717429324240981
100,1595116800000,0.017420321549745946
101,1595203200000,0.01753321554088248
102,1595289600000,0.017198084737448896
103,1595376000000,0.01763769199123773
104,1595462400000,0.017959291028662536
105,1595548800000,0.017869590505919106
106,1595635200000,0.017981133020488455
107,1595721600000,0.01871235164605766
108,1595808000000,0.018535013346750503
109,1595894400000,0.0186789884319624
110,1595980800000,0.019115015203040212
111,1596067200000,0.019275024217196336
112,1596153600000,0.019244314227940536
113,1596240000000,0.019686442428739657
114,1596326400000,0.020487021450702903
115,1596412800000,0.019000755523072954
116,1596499200000,0.01986350464028663
117,1596585600000,0.020333822756927758
118,1596672000000,0.020367439701825658
119,1596758400000,0.020238641544347142
120,1596844800000,0.01983385669935248
121,1596931200000,0.020355939674656827
122,1597017600000,0.02042941174347446
123,1597104000000,0.021487917108577524
124,1597190400000,0.020118573624748917
125,1597276800000,0.02022681915912518
126,1597363200000,0.022394464441035312
127,1597449600000,0.02474309253393991
128,1597536000000,0.025178287260628304
129,1597622400000,0.02808867721994377
130,1597708800000,0.03039781950475864
131,1597795200000,0.028742046447685545
132,1597881600000,0.026467623825155533
133,1597968000000,0.02752118987516019
134,1598054400000,0.024189390712833252
135,1598140800000,0.025135586074232864
136,1598227200000,0.024402748687601134
137,1598313600000,0.02511701016207541
138,1598400000000,0.02310787330906825
139,1598486400000,0.023684270255351015
140,1598572800000,0.02306089184132412
141,1598659200000,0.02392321620166728
142,1598745600000,0.024978688351572128
143,1598832000000,0.02691484362157624
144,1598918400000,0.029349690212924
145,1599004800000,0.03471569093847905
146,1599091200000,0.034740270018272165
147,1599177600000,0.04094072674242697
148,1599264000000,0.0356962276151141
149,1599350400000,0.029977628044229942
150,1599436800000,0.03169800024658187
151,1599523200000,0.03215180919450942
152,1599609600000,0.03496725139547197
153,1599696000000,0.03397776615874086
154,1599782400000,0.03299006775945439
155,1599868800000,0.03346756802355502
156,1599955200000,0.03274882067788218
157,1600041600000,0.030658275548083504
158,1600128000000,0.03040123822247654
159,1600214400000,0.027915598178337327
160,1600300800000,0.02647687237084751
161,1600387200000,0.027993943771464892
162,1600473600000,0.029008005233839364
163,1600560000000,0.027719281455852125
