,Time,Tron Volume
0,1586476800000,1069726810.3057635
1,1586563200000,1179810214.78009
2,1586649600000,1101729960.9806812
3,1586736000000,1092809787.553104
4,1586822400000,1297978650.3600047
5,1586908800000,1297749008.239287
6,1586995200000,1278330888.116773
7,1587081600000,1535380776.8512223
8,1587168000000,1357117165.0530806
9,1587254400000,1435699764.8636677
10,1587340800000,1344244828.7830582
11,1587427200000,1400759954.721906
12,1587513600000,1334220068.7724853
13,1587600000000,1346847345.1322885
14,1587686400000,1463705582.7729528
15,1587772800000,1624977158.849541
16,1587859200000,1579120151.7766204
17,1587945600000,1490117444.3268948
18,1588032000000,1525174714.6222985
19,1588118400000,1603853811.1034322
20,1588204800000,1822420893.855773
21,1588291200000,1751598144.3965545
22,1588377600000,1696419825.605757
23,1588464000000,1623289442.8672678
24,1588550400000,1685661605.4719584
25,1588636800000,1820539687.4008627
26,1588723200000,1884346854.9568982
27,1588809600000,1650772708.5280051
28,1588896000000,1809428384.182692
29,1588982400000,1794100613.859629
30,1589068800000,1721355759.6113238
31,1589155200000,1805326067.216146
32,1589241600000,1822723853.70222
33,1589328000000,1712073981.0293734
34,1589414400000,1653513474.38037
35,1589500800000,1530414820.572624
36,1589587200000,1403893409.5974622
37,1589673600000,1404243132.3389583
38,1589760000000,1405846453.2992854
39,1589846400000,1416185121.8332872
40,1589932800000,1454254472.0098069
41,1590019200000,1441611486.6782768
42,1590105600000,1379241041.9333508
43,1590192000000,1436058070.366234
44,1590278400000,1389040237.3481112
45,1590364800000,1375780653.716117
46,1590451200000,1379789255.3117566
47,1590537600000,1300413161.6306803
48,1590624000000,1263917725.4886694
49,1590710400000,1338506789.0920548
50,1590796800000,1251015680.1730366
51,1590883200000,1533761388.5189612
52,1590969600000,1587157916.8752189
53,1591056000000,1563515326.7731133
54,1591142400000,1515801957.4549139
55,1591228800000,1483993240.388823
56,1591315200000,1452845364.561306
57,1591401600000,1414671637.7099266
58,1591488000000,1433590232.1516023
59,1591574400000,1703435010.2597275
60,1591660800000,1593155924.274086
61,1591747200000,1443804596.1196523
62,1591833600000,1379925951.841142
63,1591920000000,1405377507.9753437
64,1592006400000,1362327721.856665
65,1592092800000,1302042638.3050818
66,1592179200000,1252357106.0992284
67,1592265600000,1244045342.6377716
68,1592352000000,1132149260.008101
69,1592438400000,1133725979.919312
70,1592524800000,737522933.4452596
71,1592611200000,712929602.1531055
72,1592697600000,826582805.2659985
73,1592784000000,852945088.0875524
74,1592870400000,667510122.3930117
75,1592956800000,702732458.3309191
76,1593043200000,503498966.12450856
77,1593129600000,448186721.8765642
78,1593216000000,475506747.32748395
79,1593302400000,507096448.06275403
80,1593388800000,459006108.0030335
81,1593475200000,646557124.0036312
82,1593561600000,591774929.4516362
83,1593648000000,616158741.6860768
84,1593734400000,462569575.74716055
85,1593820800000,495821952.27512413
86,1593907200000,543274191.5315396
87,1593993600000,554456986.6535307
88,1594080000000,921020217.8182389
89,1594166400000,608457447.4446307
90,1594252800000,660210213.3405523
91,1594339200000,704046055.0161837
92,1594425600000,577405929.4546032
93,1594512000000,512280792.6961057
94,1594598400000,454863886.4483339
95,1594684800000,499360159.02080876
96,1594771200000,461695369.1994364
97,1594857600000,408745006.62645674
98,1594944000000,422135832.36752856
99,1595030400000,349825832.7193402
100,1595116800000,350748248.1430536
101,1595203200000,356489012.2734566
102,1595289600000,351985299.6293183
103,1595376000000,361913726.34976494
104,1595462400000,359711701.3622398
105,1595548800000,403711887.6568023
106,1595635200000,410419748.8654822
107,1595721600000,458963452.5948362
108,1595808000000,480096557.888283
109,1595894400000,596477059.2268931
110,1595980800000,567606423.2718382
111,1596067200000,566405740.287148
112,1596153600000,471886158.5068742
113,1596240000000,477233638.7107514
114,1596326400000,652394215.6353393
115,1596412800000,760171827.0593904
116,1596499200000,557371150.4706995
117,1596585600000,522799353.358761
118,1596672000000,453400938.3560283
119,1596758400000,436133582.20547193
120,1596844800000,804041444.5852821
121,1596931200000,459238572.57973903
122,1597017600000,488076051.4883628
123,1597104000000,649608333.9911917
124,1597190400000,854585599.6183517
125,1597276800000,542145649.4140759
126,1597363200000,785643125.7386789
127,1597449600000,941671557.8557936
128,1597536000000,817497747.813689
129,1597622400000,1048206012.9184842
130,1597708800000,1205602497.4715855
131,1597795200000,1369923734.1154535
132,1597881600000,1284389744.9421294
133,1597968000000,929538066.1449765
134,1598054400000,883933358.5883433
135,1598140800000,894903951.0590583
136,1598227200000,648995674.0787561
137,1598313600000,625236101.8649032
138,1598400000000,689992051.6129872
139,1598486400000,635597340.4005109
140,1598572800000,696363124.0899982
141,1598659200000,620546327.986486
142,1598745600000,612541772.7621024
143,1598832000000,864677654.7657354
144,1598918400000,1063299339.9102694
145,1599004800000,1743975713.632733
146,1599091200000,2943903921.1459293
147,1599177600000,4473930334.5484915
148,1599264000000,3974134939.433115
149,1599350400000,2527204394.2975407
150,1599436800000,2118855129.1330779
151,1599523200000,1608501251.680737
152,1599609600000,2033263260.3556712
153,1599696000000,1469258218.2693024
154,1599782400000,1315955417.4974802
155,1599868800000,1399988509.752815
156,1599955200000,1329738771.9897666
157,1600041600000,1345876744.27392
158,1600128000000,1483336332.591586
159,1600214400000,1554818739.2956004
160,1600300800000,1806748370.6796725
161,1600387200000,1489040218.7174904
162,1600473600000,1749380899.6442592
163,1600560000000,1458536038.1029217
164,1600646400000,1408041909.6265028
165,1600732800000,1682398926.3841693
166,1600819200000,1143586311.2725468
167,1600905600000,1254630581.657882
168,1600992000000,831142491.0264149
169,1601078400000,1225221035.080183
