,Time,Polymath Volume
0,1586476800000,1137350.9540955934
1,1586563200000,1974125.2162394444
2,1586649600000,1217370.9756632475
3,1586736000000,1555734.1386033907
4,1586822400000,1867479.3550503065
5,1586908800000,2018465.8219144396
6,1586995200000,1645990.4793785433
7,1587081600000,1747737.8165473342
8,1587168000000,1039369.9911443993
9,1587254400000,1657955.7578205047
10,1587340800000,1413045.8546161656
11,1587427200000,1652051.4314197665
12,1587513600000,1686290.0133140383
13,1587600000000,1937433.440934736
14,1587686400000,1982852.0622646126
15,1587772800000,1951553.42735865
16,1587859200000,1378943.481903802
17,1587945600000,1350065.3626515938
18,1588032000000,1288698.033394395
19,1588118400000,1366941.876421127
20,1588204800000,4617677.322939487
21,1588291200000,2232365.9853558973
22,1588377600000,5070769.529739723
23,1588464000000,2777710.708415474
24,1588550400000,2375954.1845339835
25,1588636800000,1897056.5540349346
26,1588723200000,2035923.7830611973
27,1588809600000,1601783.1774669376
28,1588896000000,6630424.55779192
29,1588982400000,2689404.3819389855
30,1589068800000,1963777.6626073644
31,1589155200000,1965088.3206805023
32,1589241600000,1949959.720025006
33,1589328000000,2691659.9770032964
34,1589414400000,2368429.3606629297
35,1589500800000,2862702.478689283
36,1589587200000,2850959.2236159006
37,1589673600000,2592338.9396242113
38,1589760000000,3703781.753173564
39,1589846400000,3174216.746550267
40,1589932800000,4355125.984212881
41,1590019200000,5837602.135174884
42,1590105600000,4021124.671179624
43,1590192000000,1320056.8904280167
44,1590278400000,1333036.6126501248
45,1590364800000,12063557.96860846
46,1590451200000,3211210.675122417
47,1590537600000,1720854.3446882716
48,1590624000000,1502776.8256321445
49,1590710400000,3132756.014629578
50,1590796800000,2476855.7341762525
51,1590883200000,3781888.766750504
52,1590969600000,8594645.966434104
53,1591056000000,9495400.942994708
54,1591142400000,4054056.575212503
55,1591228800000,2981267.862556547
56,1591315200000,4221140.099651407
57,1591401600000,3401834.484996188
58,1591488000000,3423419.7366865007
59,1591574400000,12492838.666188078
60,1591660800000,4239659.677913024
61,1591747200000,1936416.638633027
62,1591833600000,3178640.7684133477
63,1591920000000,3642589.685304565
64,1592006400000,6459020.687439167
65,1592092800000,7847159.205447432
66,1592179200000,4592783.302162539
67,1592265600000,4685043.155944959
68,1592352000000,5412969.030522487
69,1592438400000,4539895.013426202
70,1592524800000,6206637.01591832
71,1592611200000,5228404.41878049
72,1592697600000,3978307.61362251
73,1592784000000,7891746.125028056
74,1592870400000,8650217.05927533
75,1592956800000,3212171.1123182266
76,1593043200000,2341610.53114902
77,1593129600000,2871134.7809401075
78,1593216000000,7011582.422005959
79,1593302400000,1512142.8526308916
80,1593388800000,1356352.5576248872
81,1593475200000,2232818.8627196965
82,1593561600000,875710.7649809147
83,1593648000000,1300116.1860432443
84,1593734400000,1990636.3341611552
85,1593820800000,1961825.3001198482
86,1593907200000,1882745.2170612153
87,1593993600000,3766663.9123100187
88,1594080000000,2535961.28716915
89,1594166400000,2376343.89695273
90,1594252800000,2772881.1289232415
91,1594339200000,2643904.9227129603
