,Time,Solana Market Cap
0,1586563200000,7827651.892659198
1,1586649600000,6173607.678345317
2,1586736000000,7269680.447445141
3,1586822400000,6302364.150584625
4,1586908800000,5306221.06575891
5,1586995200000,5114653.932636794
6,1587081600000,5505929.486978686
7,1587168000000,5348323.975349362
8,1587254400000,5423066.285864263
9,1587340800000,4844617.211182358
10,1587427200000,4285479.154681022
11,1587513600000,4591546.761226098
12,1587600000000,5446538.173850838
13,1587686400000,4909586.999036558
14,1587772800000,5027193.620409137
15,1587859200000,5173619.233465031
16,1587945600000,5137791.330825961
17,1588032000000,4616001.375155629
18,1588118400000,5283691.351331575
19,1588204800000,5897415.537215416
20,1588291200000,5635423.505964131
21,1588377600000,5735879.899599453
22,1588464000000,5669404.169981707
23,1588550400000,5486412.385664286
24,1588636800000,5354861.583908894
25,1588723200000,5195811.6286706
26,1588809600000,5010066.054780242
27,1588896000000,4874818.721855924
28,1588982400000,4827334.908169065
29,1589068800000,4816707.909418276
30,1589155200000,4324416.949285259
31,1589241600000,4171226.2991002905
32,1589328000000,4266741.231304909
33,1589414400000,4413742.897500913
34,1589500800000,4570789.918376839
35,1589587200000,4432087.508991812
36,1589673600000,4752035.386171752
37,1589760000000,4898008.357759836
38,1589846400000,5213969.633802138
39,1589932800000,4996233.199332481
40,1590019200000,4629608.829738474
41,1590105600000,4853042.594897839
42,1590192000000,4919865.806567834
43,1590278400000,4866957.615424991
44,1590364800000,4374843.160369413
45,1590451200000,4809730.17960867
46,1590537600000,4598505.351008801
47,1590624000000,4715158.090275346
48,1590710400000,9366383.783941554
49,1590796800000,9427078.266084636
50,1590883200000,9591470.33610501
51,1590969600000,9399234.951485896
52,1591056000000,9424972.586161828
53,1591142400000,9310563.109433705
54,1591228800000,9614805.94741188
55,1591315200000,9543805.262487222
56,1591401600000,10747702.95638117
57,1591488000000,10180036.835310562
58,1591574400000,10138083.793723866
59,1591660800000,10913789.386770498
60,1591747200000,10726797.093153996
61,1591833600000,10648020.65447342
62,1591920000000,9341515.406268213
63,1592006400000,9722321.601662131
64,1592092800000,9955797.604756866
65,1592179200000,9583560.125035353
66,1592265600000,9320494.000741212
67,1592352000000,9519846.38912149
68,1592438400000,9549958.35463254
69,1592524800000,10224928.435807472
70,1592611200000,11247343.894203106
71,1592697600000,10673766.043338617
72,1592784000000,11086240.79289364
73,1592870400000,11996277.112687156
74,1592956800000,11646898.982503338
75,1593043200000,12150092.54225176
76,1593129600000,11741625.189942881
77,1593216000000,12079079.145186102
78,1593302400000,11750514.839677684
79,1593388800000,13136127.952360291
80,1593475200000,14062849.974509096
81,1593561600000,14164459.013979025
82,1593648000000,13737840.609279668
83,1593734400000,12783903.734507758
84,1593820800000,12672163.175031388
85,1593907200000,12892264.592707587
86,1593993600000,11423393.474284139
87,1594080000000,11691026.180906912
88,1594166400000,12435090.742149869
89,1594252800000,13138366.724263769
90,1594339200000,14045120.422821058
91,1594425600000,15112460.37027957
92,1594512000000,15255277.05816987
93,1594598400000,16696748.621766666
94,1594684800000,20428062.235112287
95,1594771200000,19972946.844421286
96,1594857600000,24362181.926540546
97,1594944000000,17274473.46197496
98,1595030400000,20917439.75564856
99,1595116800000,20602905.143447436
100,1595203200000,19624140.864785753
101,1595289600000,18811046.939017244
102,1595376000000,20859692.480081826
103,1595462400000,23288212.437627885
104,1595548800000,23621340.96676559
105,1595635200000,22240716.375305213
106,1595721600000,27986367.374513853
107,1595808000000,35745817.7886529
108,1595894400000,41165009.82828771
109,1595980800000,41629008.982130036
110,1596067200000,40210662.87394944
111,1596153600000,41117076.71814283
112,1596240000000,37711209.168728195
113,1596326400000,37591996.350815535
114,1596412800000,42382004.442631856
115,1596499200000,43879557.43250306
116,1596585600000,46368816.3139189
117,1596672000000,43050611.45569475
118,1596758400000,57169342.30736419
119,1596844800000,54969359.87215626
120,1596931200000,65401183.62573061
121,1597017600000,71020175.15382175
122,1597104000000,87332088.95472732
123,1597190400000,91851887.99480896
124,1597276800000,105458413.8307931
125,1597363200000,108874815.26710747
126,1597449600000,101662334.18190424
127,1597536000000,94560197.39791581
128,1597622400000,101093049.99744666
129,1597708800000,95117475.85564578
130,1597795200000,103512572.72250581
131,1597881600000,91194729.76245809
132,1597968000000,101186302.29256418
133,1598054400000,92576368.0854075
134,1598140800000,95149797.26079312
135,1598227200000,104838610.42033501
136,1598313600000,105025071.74355629
137,1598400000000,103504610.60526419
138,1598486400000,114219136.44905476
139,1598572800000,110491240.21623018
140,1598659200000,129651597.85797815
141,1598745600000,128816760.88101023
142,1598832000000,144468272.8412078
143,1598918400000,157231078.23530626
144,1599004800000,144080731.16918826
145,1599091200000,137747076.79202124
146,1599177600000,119105104.96979707
147,1599264000000,118962336.47400291
148,1599350400000,87193154.31518938
149,1599436800000,103754712.65869252
150,1599523200000,99103615.3011978
151,1599609600000,85338829.21618006
152,1599696000000,121438753.71660663
153,1599782400000,118759154.8277774
154,1599868800000,121133286.76719753
155,1599955200000,116947704.57942767
156,1600041600000,112654349.57438488
157,1600128000000,118721263.47138277
158,1600214400000,107150010.94799854
159,1600300800000,94070098.59695262
160,1600387200000,107329192.55976476
161,1600473600000,115398247.16683203
162,1600560000000,113066182.9422364
163,1600646400000,107485223.20908946
164,1600732800000,105132421.8250733
165,1600819200000,110996725.68154047
166,1600905600000,107801478.99659243
167,1600992000000,118878878.68168245
168,1601078400000,122238331.59277275
169,1601164800000,121477645.40078653
170,1601251200000,124163454.94575258
171,1601337600000,115671366.64099684
172,1601424000000,117794737.82329232
173,1601510400000,116997169.793763
