,Time,Avalanche Volume
0,1600732800000,245857265.66415152
1,1600819200000,245857265.66415152
2,1600905600000,97342432.17482527
3,1600992000000,69665168.04927005
4,1601078400000,41950754.98125503
5,1601164800000,21176150.392053947
6,1601251200000,17356907.97055633
7,1601337600000,14748322.291531274
8,1601424000000,12477984.35950614
9,1601510400000,12785136.09148073
10,1601596800000,17312305.607966352
11,1601683200000,20480180.81475524
12,1601769600000,8157800.073572848
13,1601856000000,8341041.062748824
14,1601942400000,5274554.213608636
15,1602028800000,8620566.607562283
16,1602115200000,10136144.152725175
17,1602201600000,9112782.415372472
18,1602288000000,8083299.110651138
19,1602374400000,8854861.444740139
20,1602460800000,6653417.800167322
21,1602547200000,9407445.188746862
22,1602633600000,9879743.142588776
23,1602720000000,6324588.955505573
24,1602806400000,4178780.246160479
25,1602892800000,6092849.116656564
26,1602979200000,4016426.545291323
27,1603065600000,2393108.0246924674
28,1603152000000,3814046.0500185965
29,1603238400000,6488499.338391293
30,1603324800000,4093830.9432037342
31,1603411200000,22188059.092310872
32,1603497600000,17864243.589453157
33,1603584000000,15284821.365305046
34,1603670400000,14195022.66987678
35,1603756800000,20491070.63553679
36,1603843200000,15982829.478286525
37,1603929600000,17694239.251827728
38,1604016000000,19176341.034035962
39,1604102400000,25860480.27362753
40,1604188800000,18619900.779043667
41,1604275200000,15242039.906739369
42,1604361600000,17509659.125208754
43,1604448000000,21262489.69767414
44,1604534400000,18553138.93832313
45,1604620800000,24893051.71475946
46,1604707200000,31163485.622371767
47,1604793600000,30270381.184326597
48,1604880000000,24140141.30037517
49,1604966400000,23732139.34429084
50,1605052800000,23138653.76916582
51,1605139200000,22536447.967011515
52,1605225600000,23557869.41802157
53,1605312000000,25158607.112861387
54,1605398400000,22017841.4466868
55,1605484800000,20663402.602641553
56,1605571200000,24334591.112465862
57,1605657600000,20241159.98645585
58,1605744000000,17514134.353118777
59,1605830400000,18593948.46804531
60,1605916800000,22298819.945408035
61,1606003200000,24540869.80997068
62,1606089600000,23855867.313789263
63,1606176000000,22559536.52763126
64,1606262400000,28115103.101459112
65,1606348800000,25307273.806425557
66,1606435200000,31985791.29986177
67,1606521600000,21862616.112289805
68,1606608000000,16724931.721035836
69,1606694400000,17252559.560578257
70,1606780800000,20088310.893637203
71,1606867200000,23096407.061286002
72,1606953600000,20616561.52465987
73,1607040000000,20471319.280940827
74,1607126400000,23175098.645947225
75,1607212800000,21372520.89494119
76,1607299200000,20702638.250297237
