,Time,Ethereum Market Cap
0,1586476800000,18787453383.948494
1,1586563200000,17375118634.991734
2,1586649600000,17489565908.771362
3,1586736000000,17790409219.818943
4,1586822400000,17316641314.145325
5,1586908800000,17559917949.258163
6,1586995200000,16933905371.155535
7,1587081600000,18989526634.23506
8,1587168000000,18844786940.26037
9,1587254400000,20686869606.075146
10,1587340800000,19894212517.443478
11,1587427200000,18894679854.84961
12,1587513600000,18883297426.60788
13,1587600000000,20165266729.19022
14,1587686400000,20371607313.859978
15,1587772800000,20756708748.58927
16,1587859200000,21449928671.504494
17,1587945600000,21798344583.464844
18,1588032000000,21715118585.744934
19,1588118400000,21824818237.698734
20,1588204800000,23796586177.48911
21,1588291200000,22894189506.373463
22,1588377600000,23540629181.114624
23,1588464000000,23700169401.049606
24,1588550400000,23254687127.813503
25,1588636800000,22819858077.111965
26,1588723200000,22740460359.466698
27,1588809600000,22529347281.111214
28,1588896000000,23678773321.927563
29,1588982400000,23476076684.66088
30,1589068800000,23328821609.133904
31,1589155200000,20859785783.852856
32,1589241600000,20616754314.258286
33,1589328000000,20993946147.950317
34,1589414400000,22169692740.7452
35,1589500800000,22562017222.46954
36,1589587200000,21656663418.09443
37,1589673600000,22256509489.004852
38,1589760000000,22938430778.9383
39,1589846400000,23793534838.638046
40,1589932800000,23656360817.218487
41,1590019200000,23303624068.60854
42,1590105600000,22089212414.442772
43,1590192000000,22960218146.427925
44,1590278400000,22943289960.014706
45,1590364800000,22417907964.48714
46,1590451200000,22639118588.39778
47,1590537600000,22325672542.330963
48,1590624000000,23085068545.910442
49,1590710400000,24328143646.44253
50,1590796800000,24504031642.684784
51,1590883200000,27012940828.466957
52,1590969600000,25671662155.409367
53,1591056000000,27559451838.43636
54,1591142400000,26414164713.757725
55,1591228800000,27137533088.4328
56,1591315200000,27105225697.6403
57,1591401600000,26722521046.76495
58,1591488000000,26923196533.750423
59,1591574400000,27129407338.340355
60,1591660800000,27441367803.298782
61,1591747200000,27188436885.46926
62,1591833600000,27480866985.686268
63,1591920000000,25655172292.438347
64,1592006400000,26414947184.76374
65,1592092800000,26503078976.085632
66,1592179200000,25856836267.17579
67,1592265600000,25743924409.197376
68,1592352000000,26206196967.82947
69,1592438400000,26079437153.80169
70,1592524800000,25847377552.221436
71,1592611200000,25534271650.26011
72,1592697600000,25501270877.342506
73,1592784000000,25381090910.620564
74,1592870400000,27083046206.889904
75,1592956800000,27097142032.576195
76,1593043200000,26239099771.426495
77,1593129600000,25963410301.573772
78,1593216000000,25643178437.809326
79,1593302400000,24650756780.212147
80,1593388800000,25059706534.523754
81,1593475200000,25465535919.172665
82,1593561600000,25169333234.47631
83,1593648000000,25738012877.807854
84,1593734400000,25284990219.958416
85,1593820800000,25132071680.625286
86,1593907200000,25572481115.808292
87,1593993600000,25442148685.628662
88,1594080000000,26966777214.595856
89,1594166400000,26667827703.348965
90,1594252800000,27538955079.081337
91,1594339200000,27017961197.637337
92,1594425600000,26917385878.316235
93,1594512000000,26712364780.153114
94,1594598400000,26889793823.339703
95,1594684800000,26757968884.421734
96,1594771200000,26870705032.694412
97,1594857600000,26686755678.99533
98,1594944000000,26142878196.66504
99,1595030400000,26015174195.367386
100,1595116800000,26352655621.666836
101,1595203200000,26715274452.48371
102,1595289600000,26401433618.61543
103,1595376000000,27404691587.94453
104,1595462400000,29528105819.948067
105,1595548800000,30714049723.16856
106,1595635200000,31236557399.18939
107,1595721600000,34136825749.960796
108,1595808000000,34754323492.16516
109,1595894400000,35873239729.40686
110,1595980800000,35422047874.02414
111,1596067200000,35553131948.946304
112,1596153600000,37564052087.124535
113,1596240000000,38794882275.39032
114,1596326400000,43411673380.48453
115,1596412800000,41469942047.79405
116,1596499200000,43272376856.193855
117,1596585600000,43787281284.318275
118,1596672000000,44844619093.01642
119,1596758400000,44217734699.095276
120,1596844800000,42541561650.30221
121,1596931200000,43821378072.89572
122,1597017600000,43682388559.8162
123,1597104000000,44298575284.664795
124,1597190400000,42639702440.41078
125,1597276800000,43436076387.69582
126,1597363200000,47693538253.1255
127,1597449600000,49022330904.64755
128,1597536000000,48462771178.61529
129,1597622400000,48635333662.57019
130,1597708800000,48259667903.08671
131,1597795200000,47400903599.29812
132,1597881600000,45642757811.590775
133,1597968000000,46754739209.41609
134,1598054400000,43434501400.18814
135,1598140800000,44454504740.72998
136,1598227200000,44021875258.788315
137,1598313600000,45914782850.88361
138,1598400000000,43097616381.47341
139,1598486400000,43337732292.52325
140,1598572800000,42903096293.90094
141,1598659200000,44402928843.0099
