,Time,Solana Volume
0,1586563200000,92672667.43447028
1,1586649600000,49458692.875223994
2,1586736000000,37821009.955602355
3,1586822400000,19579214.89293177
4,1586908800000,17523533.049867075
5,1586995200000,12659541.408408837
6,1587081600000,23132895.9095158
7,1587168000000,10227034.752456626
8,1587254400000,10199318.163159857
9,1587340800000,9789186.730548004
10,1587427200000,8763891.031037511
11,1587513600000,9610841.993019182
12,1587600000000,18146790.14448149
13,1587686400000,13659849.485801896
14,1587772800000,8959427.13964603
15,1587859200000,7324961.274114759
16,1587945600000,8493459.048447348
17,1588032000000,7534010.521157354
18,1588118400000,7387289.032147021
19,1588204800000,8964597.270530097
20,1588291200000,5182978.537733341
21,1588377600000,4174109.6429038513
22,1588464000000,3457574.5570013877
23,1588550400000,3375393.730010124
24,1588636800000,3467483.256730908
25,1588723200000,2903980.8568524625
26,1588809600000,2715223.2877061805
27,1588896000000,3385522.0174709754
28,1588982400000,2493703.55942783
29,1589068800000,2126230.1519960337
30,1589155200000,2370841.7230691817
31,1589241600000,2113480.526002199
32,1589328000000,2182277.4116870984
33,1589414400000,2337721.3827509126
34,1589500800000,548910.1111122454
35,1589587200000,1837728.914580343
36,1589673600000,2286736.274938201
37,1589760000000,2950437.821089827
38,1589846400000,3280890.995949265
39,1589932800000,2375972.6144311675
40,1590019200000,2306268.656301432
41,1590105600000,2791803.410911919
42,1590192000000,3449950.8698416166
43,1590278400000,2624526.4581755586
44,1590364800000,2831384.6236669393
45,1590451200000,4453912.36455054
46,1590537600000,2703457.5841550757
47,1590624000000,2545885.09382515
48,1590710400000,2654599.496858454
49,1590796800000,2051249.6504508469
50,1590883200000,2439529.3289575824
51,1590969600000,1936502.3610925872
52,1591056000000,2232352.346863049
53,1591142400000,1384105.1497734163
54,1591228800000,888236.6647254211
55,1591315200000,863889.7763493777
56,1591401600000,4253926.368138953
57,1591488000000,1644975.9479360643
58,1591574400000,778127.9330190483
59,1591660800000,1450401.0511809927
60,1591747200000,934660.1510810163
61,1591833600000,1145633.2872963657
62,1591920000000,1164520.213589104
63,1592006400000,962192.2023448921
64,1592092800000,753788.2633049818
65,1592179200000,915552.325663399
66,1592265600000,1052111.2592694547
67,1592352000000,679085.216200979
68,1592438400000,704810.1888912406
69,1592524800000,1372641.01989903
70,1592611200000,7055205.212782311
71,1592697600000,1745226.9861953105
72,1592784000000,2287434.9791924166
73,1592870400000,1654719.03275172
74,1592956800000,1383543.515394181
75,1593043200000,2827321.0318965996
76,1593129600000,1804323.6591062366
77,1593216000000,1673667.3915581722
78,1593302400000,1710200.3756398568
79,1593388800000,3419777.1925617917
80,1593475200000,2179078.5022104667
81,1593561600000,4200596.310608971
82,1593648000000,1840101.230846373
83,1593734400000,1796842.5276823917
84,1593820800000,1136961.5458983239
85,1593907200000,1683516.1067310176
86,1593993600000,3820984.230135418
87,1594080000000,1164528.5162276954
88,1594166400000,1711217.8737984726
89,1594252800000,2258517.8140890417
90,1594339200000,2615952.924425641
91,1594425600000,1871221.381625289
92,1594512000000,1733700.4838324187
93,1594598400000,4779890.404796757
94,1594684800000,4064986.8593240106
95,1594771200000,2236363.0616940595
96,1594857600000,3361791.9274219424
97,1594944000000,9296866.059843082
98,1595030400000,11550958.719088707
99,1595116800000,2951092.759333697
100,1595203200000,2231346.892892173
101,1595289600000,3041235.988885012
102,1595376000000,4296502.831840978
103,1595462400000,5381567.012406718
104,1595548800000,3051275.6707602446
105,1595635200000,2030487.6493153644
106,1595721600000,9847485.817662286
107,1595808000000,9916449.44921899
108,1595894400000,34618880.39774075
109,1595980800000,9748575.381711468
110,1596067200000,11129957.57810826
111,1596153600000,5611511.032735667
112,1596240000000,5087571.122031662
113,1596326400000,4748192.135285872
114,1596412800000,6698349.656645603
115,1596499200000,5778334.689310662
116,1596585600000,5584908.268188476
117,1596672000000,5569521.620614501
118,1596758400000,10399801.556090286
119,1596844800000,7707429.070748664
120,1596931200000,10257501.939669047
121,1597017600000,11357917.296250584
122,1597104000000,22017721.74290488
123,1597190400000,34022534.26369051
124,1597276800000,27350570.77388378
125,1597363200000,28936940.781297173
126,1597449600000,19041477.056082636
127,1597536000000,13945414.886381749
128,1597622400000,10367526.298214646
129,1597708800000,11222688.377130892
130,1597795200000,29613499.054796744
131,1597881600000,15448650.496923096
132,1597968000000,13595404.010378797
133,1598054400000,12006369.819543839
134,1598140800000,10159244.74494122
135,1598227200000,11705563.476910876
136,1598313600000,15583655.536926841
137,1598400000000,12533596.20470018
138,1598486400000,22112806.023894925
139,1598572800000,21498130.288651012
140,1598659200000,26740109.116042912
141,1598745600000,14534080.230702233
142,1598832000000,22083311.984774828
143,1598918400000,19476155.185270272
144,1599004800000,16073140.847875303
145,1599091200000,23121094.981106814
146,1599177600000,27187766.957454216
147,1599264000000,17857611.36846
148,1599350400000,25742235.853560265
149,1599436800000,18512975.690539997
150,1599523200000,15992080.626502352
151,1599609600000,10503232.091517104
152,1599696000000,46180176.27343093
153,1599782400000,31817980.375814505
154,1599868800000,16519855.116028652
155,1599955200000,10193775.121683143
156,1600041600000,15375145.93697348
157,1600128000000,21853783.60876622
158,1600214400000,12635260.000412077
159,1600300800000,24795333.687555198
160,1600387200000,21791980.63219644
161,1600473600000,22533255.903117426
162,1600560000000,10943760.457857545
163,1600646400000,9294739.741029434
164,1600732800000,19270693.968702458
165,1600819200000,18874481.49614106
166,1600905600000,14564763.145004692
167,1600992000000,16633162.873780875
168,1601078400000,13618464.796439826
169,1601164800000,8801854.27770789
170,1601251200000,7557998.443943798
